Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.07,0.34,0.95,0.027,0.021,0.0,0.0,0.0,0.006,0.0,,,,70.0,90.0,35.0,,60.0,0.0,,90.0,,,1.0,2.7,250,MMA,0.0,0.0,456.2,529.8,27.5,73.0,,,180.0,,Cunh-1982-7018aw1,,,1,0,Cunh
0.07,0.34,0.95,0.027,0.021,0.0,0.0,0.0,0.006,0.0,,,,70.0,90.0,35.0,,60.0,0.0,,90.0,,,1.0,2.7,250,MMA,600.0,2.1,430.7,519.9,29.5,73.5,,,174.0,,Cunh-1982-7018ht1,,,1,0,Cunh
0.06,0.28,0.55,0.024,0.041,1.26,0.0,0.0,0.01,0.02,,,,70.0,70.0,35.0,,60.0,0.0,,90.0,,,1.0,2.2,250,MMA,0.0,0.0,475.8,564.1,28.0,70.5,,,220.0,,Cunh-1982-8018Gaw2,,,1,0,Cunh
0.06,0.28,0.55,0.024,0.041,1.26,0.0,0.0,0.01,0.02,,,,70.0,70.0,35.0,,60.0,0.0,,90.0,,,1.0,2.2,250,MMA,600.0,2.1,430.7,529.8,24.5,69.0,,,184.0,,Cunh-1982-8018Ght2,,,1,0,Cunh
0.09,0.42,0.93,0.011,0.058,0.0,0.0,0.02,0.004,0.08,,,,140.0,160.0,40.0,,120.0,1000.0,,140.0,,,1.0,2.5,250,MMA,0.0,0.0,491.5,573.9,28.0,74.0,,,193.0,,Cunh-1982-7016aw3,,,1,0,Cunh
0.09,0.42,0.93,0.011,0.058,0.0,0.0,0.02,0.004,0.08,,,,140.0,160.0,40.0,,120.0,1000.0,,140.0,,,1.0,2.5,250,MMA,600.0,2.1,420.9,541.5,24.5,74.5,,,180.0,,Cunh-1982-7016ht3,,,1,0,Cunh
0.08,0.33,0.65,0.015,0.026,0.5,0.35,0.008,0.004,0.02,,,,200.0,140.0,45.0,,150.0,60.0,,140.0,,,1.0,2.4,250,MMA,0.0,0.0,503.3,591.5,28.0,73.0,,,213.0,,Cunh-1982-7018Gaw4,,,1,0,Cunh
0.08,0.33,0.65,0.015,0.026,0.5,0.35,0.008,0.004,0.02,,,,200.0,140.0,45.0,,150.0,60.0,,140.0,,,1.0,2.4,250,MMA,600.0,2.1,500.3,600.4,22.7,73.7,,,189.0,,Cunh-1982-7018Ght4,,,1,0,Cunh
0.07,0.61,1.07,0.025,0.026,0.0,0.0,0.0,0.014,0.0,,,,64.0,94.0,70.0,,40.0,0.0,,64.0,,,1.0,2.8,250,MMA,0.0,0.0,479.7,583.7,24.0,71.5,,,189.0,,Cunh-1982-8018Gaw5,,,1,0,Cunh
0.07,0.61,1.07,0.025,0.026,0.0,0.0,0.0,0.014,0.0,,,,64.0,94.0,70.0,,40.0,0.0,,64.0,,,1.0,2.8,250,MMA,600.0,2.1,456.2,555.2,24.5,72.0,,,213.0,,Cunh-1982-8018Ght5,,,1,0,Cunh
0.07,0.21,0.75,0.011,0.011,0.0,0.0,0.0,0.0,0.0,,,,0.0,190.0,69.0,,0.0,0.0,,0.0,,,1.0,2.6,250,MMA,0.0,0.0,463.0,552.3,33.0,75.0,,,181.0,,Cunh-1982-7018aw6,,,1,0,Cunh
0.07,0.21,0.75,0.011,0.011,0.0,0.0,0.0,0.0,0.0,,,,0.0,190.0,69.0,,0.0,0.0,,0.0,,,1.0,2.6,250,MMA,600.0,2.1,369.8,486.6,,76.0,,,174.0,,Cunh-1982-7018ht6,,,1,0,Cunh
0.09,0.44,0.9,0.01,0.027,0.0,0.0,0.0,0.0,0.0,,,,200.0,70.0,88.0,,0.0,0.0,,0.0,,,1.0,1.8,150,MMA,0.0,0.0,486.8,569.3,24.0,71.0,,,183.0,,Cunh-1982-7016aw7,,,1,0,Cunh
0.09,0.44,0.9,0.01,0.027,0.0,0.0,0.0,0.0,0.0,,,,200.0,70.0,88.0,,0.0,0.0,,0.0,,,1.0,1.8,150,MMA,600.0,2.1,,,,,,,,,Cunh-1982-7016ht7,,,1,0,Cunh
0.08,0.35,0.65,0.01,0.021,1.2,0.0,0.0,0.02,0.0,,,,40.0,100.0,150.0,,0.0,0.0,,0.0,,,1.0,1.8,140,MMA,0.0,0.0,453.8,536.3,22.6,72.0,,,184.0,,Cunh-1982-8018Gaw8,,,1,0,Cunh
0.08,0.35,0.65,0.01,0.021,1.2,0.0,0.0,0.02,0.0,,,,40.0,100.0,150.0,,0.0,0.0,,0.0,,,1.0,1.8,140,MMA,600.0,2.1,,,,,,,,,Cunh-1982-8018Ght8,,,1,0,Cunh
0.06,0.53,1.15,0.013,0.015,0.0,0.02,0.0,0.0,0.0,,,,0.0,100.0,57.0,,0.0,0.0,,80.0,,,1.0,1.8,150,MMA,0.0,0.0,553.3,626.9,25.0,70.4,,,194.0,,Cunh-1982-8018Gaw9,,,1,0,Cunh
0.06,0.53,1.15,0.013,0.015,0.0,0.02,0.0,0.0,0.0,,,,0.0,100.0,57.0,,0.0,0.0,,80.0,,,1.0,1.8,150,MMA,600.0,2.1,,,,,,,,,Cunh-1982-8018Ght9,,,1,0,Cunh
0.07,0.47,0.85,0.013,0.024,0.0,0.0,0.0,0.01,0.0,,,,80.0,120.0,43.0,,0.0,0.0,,0.0,,,1.0,1.8,150,MMA,0.0,0.0,478.5,569.3,22.1,72.4,,,180.0,,Cunh-1982-7016aw10,,,1,0,Cunh
0.07,0.47,0.85,0.013,0.024,0.0,0.0,0.0,0.01,0.0,,,,80.0,120.0,43.0,,0.0,0.0,,0.0,,,1.0,1.8,150,MMA,600.0,2.1,,,,,,,,,Cunh-1982-7016ht10,,,1,0,Cunh
0.07,0.47,1.1,0.011,0.02,0.0,0.0,0.0,0.01,0.0,,,,200.0,190.0,53.0,,0.0,0.0,,0.0,,,1.0,1.9,140,MMA,0.0,0.0,561.1,643.5,21.0,64.2,,,216.0,,Cunh-1982-7018ht11,,,1,0,Cunh
0.07,0.47,1.1,0.011,0.02,0.0,0.0,0.0,0.01,0.0,,,,200.0,190.0,53.0,,0.0,0.0,,0.0,,,1.0,1.9,140,MMA,600.0,2.1,,,,,,,,,Cunh-1982-7018ht11,,,1,0,Cunh
0.08,0.49,0.9,0.014,0.029,0.0,0.05,0.0,0.0,0.0,,,,50.0,170.0,108.0,,0.0,0.0,,0.0,,,1.0,1.9,150,MMA,0.0,0.0,486.8,577.5,20.5,70.2,,,191.0,,Cunh-1982-7018aw12,,,1,0,Cunh
0.08,0.49,0.9,0.014,0.029,0.0,0.05,0.0,0.0,0.0,,,,50.0,170.0,108.0,,0.0,0.0,,0.0,,,1.0,1.9,150,MMA,600.0,2.1,,,,,,,,,Cunh-1982-7018ht12,,,1,0,Cunh
0.05,0.25,1.15,0.015,0.024,0.0,0.0,0.0,0.004,0.12,,,,30.0,140.0,105.0,,50.0,150.0,,60.0,,,1.0,2.4,200,SA,0.0,0.0,420.8,504.2,33.0,73.0,,,164.0,,Cunh-1982-13aw,,,1,0,Cunh
0.05,0.25,1.15,0.015,0.024,0.0,0.0,0.0,0.004,0.12,,,,30.0,140.0,105.0,,50.0,150.0,,60.0,,,1.0,2.4,200,SA,600.0,2.1,387.5,482.7,29.5,70.5,,,154.0,,Cunh-1982-13ht,,,1,0,Cunh
0.1,0.18,1.6,0.015,0.029,0.0,0.0,0.5,0.004,0.14,,,,20.0,110.0,80.0,,100.0,0.0,,60.0,,,1.0,2.4,200,SA,0.0,0.0,630.8,725.9,24.5,68.5,,,265.0,,Cunh-1982-14aw,,,1,0,Cunh
0.1,0.18,1.6,0.015,0.029,0.0,0.0,0.5,0.004,0.14,,,,20.0,110.0,80.0,,100.0,0.0,,60.0,,,1.0,2.4,200,SA,600.0,2.1,605.3,694.5,25.5,67.5,,,224.0,,Cunh-1982-14ht,,,1,0,Cunh
0.09,0.28,1.52,0.015,0.045,0.0,0.0,0.5,0.005,0.1,,,,80.0,110.0,125.0,,50.0,0.0,,70.0,,,1.0,2.4,200,SA,0.0,0.0,540.5,645.5,27.5,66.0,,,226.0,,Cunh-1982-15aw,,,1,0,Cunh
0.09,0.28,1.52,0.015,0.045,0.0,0.0,0.5,0.005,0.1,,,,80.0,110.0,125.0,,50.0,0.0,,70.0,,,1.0,2.4,200,SA,600.0,2.1,562.1,640.6,27.5,66.5,,,225.0,,Cunh-1982-15ht,,,1,0,Cunh
0.12,0.22,1.24,0.036,0.019,0.0,0.0,0.0,0.0,0.18,,,,0.0,110.0,110.0,,200.0,150.0,,0.0,,,1.0,1.7,200,SA,0.0,0.0,483.6,586.6,32.0,70.5,,,193.0,,Cunh-1982-16aw,,,1,0,Cunh
0.12,0.22,1.24,0.036,0.019,0.0,0.0,0.0,0.0,0.18,,,,0.0,110.0,110.0,,200.0,150.0,,0.0,,,1.0,1.7,200,SA,600.0,2.1,414.0,532.7,33.0,74.5,,,196.0,,Cunh-1982-16ht,,,1,0,Cunh
0.15,0.32,1.2,0.017,0.025,0.0,0.0,0.0,0.0,0.0,,,,0.0,99.0,90.0,,0.0,0.0,,0.0,,,1.0,1.6,200,SA,0.0,0.0,536.6,627.8,30.0,68.0,,,202.0,,Cunh-1982-17aw,,,1,0,Cunh
0.15,0.32,1.2,0.017,0.025,0.0,0.0,0.0,0.0,0.0,,,,0.0,99.0,90.0,,0.0,0.0,,0.0,,,1.0,1.6,200,SA,600.0,1.3,487.6,586.6,31.0,73.5,,,225.0,,Cunh-1982-17ht,,,1,0,Cunh
0.08,0.21,1.2,0.014,0.022,0.0,0.0,0.0,0.0,0.0,,,,0.0,100.0,128.0,,60.0,0.0,,120.0,,,1.0,1.7,200,SA,0.0,0.0,453.2,596.4,30.0,74.0,,,193.0,,Cunh-1982-18aw,,,1,0,Cunh
0.08,0.21,1.2,0.014,0.022,0.0,0.0,0.0,0.0,0.0,,,,0.0,100.0,128.0,,60.0,0.0,,120.0,,,1.0,1.7,200,SA,600.0,1.7,455.2,569.0,35.0,74.0,,,197.0,,Cunh-1982-18ht,,,1,0,Cunh
0.1,0.12,1.2,0.013,0.024,0.0,0.0,0.0,0.0,0.0,,,,0.0,89.0,42.0,,60.0,0.0,,150.0,,,1.0,1.7,200,SA,0.0,0.0,519.9,593.5,30.0,72.0,,,172.0,,Cunh-1982-19aw,,,1,0,Cunh
0.1,0.12,1.2,0.013,0.024,0.0,0.0,0.0,0.0,0.0,,,,0.0,89.0,42.0,,60.0,0.0,,150.0,,,1.0,1.7,200,SA,600.0,2.3,390.1,487.6,37.0,77.0,,,189.0,,Cunh-1982-19ht,,,1,0,Cunh
