,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Weld ID,Electrode Positive,Electrode Negative,Group
0,0.1,0.27,0.6,0.002,0.011,0.13,8.75,1.02,0.2,0.09,0.017,0.1,20.0,390.0,160.0,10.0,30.0,40.0,400.0,31.5,0.0,1.4,177,SAA,746.0,4.0,650.0,747.0,19.0,63.0,EPRI-TR-101394s-E9SA6,1,0,EPRI
1,0.1,0.27,0.6,0.002,0.011,0.13,8.75,1.02,0.2,0.09,0.017,0.1,20.0,390.0,160.0,10.0,30.0,40.0,400.0,31.5,0.0,1.4,177,SAA,746.0,4.0,625.0,734.0,22.0,63.0,EPRI-TR-101394s-E9SA6,1,0,EPRI
2,0.11,0.27,0.6,0.002,0.01,0.14,8.77,1.01,0.2,0.1,0.017,0.1,20.0,370.0,0.014,10.0,40.0,50.0,400.0,31.5,0.0,1.4,177,SAA,746.0,4.0,626.0,727.0,23.0,69.0,EPRI-TR-101394s-E9SA8,1,0,EPRI
3,0.11,0.27,0.6,0.002,0.01,0.14,8.77,1.01,0.2,0.1,0.017,0.1,20.0,370.0,0.014,10.0,40.0,50.0,400.0,31.5,0.0,1.4,177,SAA,746.0,4.0,629.0,735.0,21.0,68.0,EPRI-TR-101394s-E9SA8,1,0,EPRI
4,0.09,0.34,0.48,0.004,0.011,0.08,8.6,0.98,0.22,0.05,0.02,0.1,20.0,260.0,0.005,10.0,30.0,50.0,390.0,11.5,1.0,1.9,177,GTAA,746.0,4.0,647.0,747.0,20.0,68.0,EPRI-TR-101394s-E9GT3,1,0,EPRI
5,0.09,0.34,0.48,0.004,0.011,0.08,8.6,0.98,0.22,0.05,0.02,0.1,20.0,260.0,0.005,10.0,30.0,50.0,390.0,11.5,1.0,1.9,177,GTAA,746.0,4.0,661.0,756.0,24.0,73.0,EPRI-TR-101394s-E9GT3,1,0,EPRI
6,0.081,0.34,0.49,0.004,0.012,0.08,8.57,0.98,0.22,0.05,0.021,0.1,20.0,240.0,0.004,10.0,30.0,60.0,300.0,12.5,1.0,1.4,177,GTAA,746.0,1.0,682.0,783.0,26.0,74.0,EPRI-TR-101394s-E9GT4,1,0,EPRI
7,0.081,0.34,0.49,0.004,0.012,0.08,8.57,0.98,0.22,0.05,0.021,0.1,20.0,240.0,0.004,10.0,30.0,60.0,300.0,12.5,1.0,1.4,177,GTAA,746.0,1.0,728.0,817.0,21.0,73.0,EPRI-TR-101394s-E9GT4,1,0,EPRI
8,0.11,0.3,0.44,0.004,0.011,0.08,8.58,1.0,0.22,0.05,0.02,0.1,20.0,340.0,0.004,10.0,20.0,50.0,275.0,28.5,1.0,1.2,177,GMAA,746.0,4.0,605.0,726.0,20.0,68.0,EPRI-TR-101394s-E9GM2,1,0,EPRI
9,0.11,0.3,0.44,0.004,0.011,0.08,8.58,1.0,0.22,0.05,0.02,0.1,20.0,340.0,0.004,10.0,20.0,50.0,275.0,28.5,1.0,1.2,177,GMAA,746.0,4.0,603.0,726.0,20.0,66.0,EPRI-TR-101394s-E9GM2,1,0,EPRI
10,0.12,0.24,0.53,0.001,0.01,0.13,8.61,1.03,0.2,0.09,0.016,0.1,20.0,430.0,0.013,10.0,30.0,50.0,285.0,28.5,1.0,1.3,177,GMAA,746.0,4.0,654.0,767.0,20.0,62.0,EPRI-TR-101394s-E9GM3,1,0,EPRI
11,0.12,0.24,0.53,0.001,0.01,0.13,8.61,1.03,0.2,0.09,0.016,0.1,20.0,430.0,0.013,10.0,30.0,50.0,285.0,28.5,1.0,1.3,177,GMAA,746.0,4.0,661.0,772.0,19.0,62.0,EPRI-TR-101394s-E9GM3,1,0,EPRI
