Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.074,0.36,1.51,0.008,0.011,,,,,0.02,,,400.0,40.0,,,,,,,,170.0,21.0,1.0,1.0,150,MMA,0.0,0.0,484.0,560.0,26.0,78.8,,,,,Es-Souni&-Cu/CMn-1990--aw***WELDINGPROCEDURE***EvansWeldingJVol59No3(1980)67,,,1,0,Es
0.074,0.36,1.51,0.008,0.011,,,,,0.02,,,400.0,40.0,,,,,,,,170.0,21.0,1.0,1.0,150,MMA,580.0,2.0,471.0,563.0,31.2,77.0,,,,,Es-Souni&-Cu/CMn-1990--ht,,,1,0,Es
0.075,0.36,1.48,0.007,0.006,,,,,0.11,,,390.0,40.0,,,,,,,,170.0,21.0,1.0,1.0,150,MMA,0.0,0.0,502.0,578.0,27.6,77.0,,,,,Es-Souni&-Cu/CMn-1990-0.2aw,,,1,0,Es
0.075,0.36,1.48,0.007,0.006,,,,,0.11,,,390.0,40.0,,,,,,,,170.0,21.0,1.0,1.0,150,MMA,580.0,2.0,462.0,548.0,29.8,77.9,,,,,Es-Souni&-Cu/CMn-1990-0.2ht,,,1,0,Es
0.074,0.32,1.42,0.008,0.007,,,,,0.19,,,380.0,40.0,,,,,,,,170.0,21.0,1.0,1.0,150,MMA,0.0,0.0,488.0,566.0,28.2,77.0,,,,,Es-Souni&-Cu/CMn-1990-0.4aw,,,1,0,Es
0.074,0.32,1.42,0.008,0.007,,,,,0.19,,,380.0,40.0,,,,,,,,170.0,21.0,1.0,1.0,150,MMA,580.0,2.0,453.0,549.0,31.2,78.8,,,,,Es-Souni&-Cu/CMn-1990-0.4ht,,,1,0,Es
0.076,0.33,1.48,0.007,0.006,,,,,0.35,,,400.0,40.0,,,,,,,,170.0,21.0,1.0,1.0,150,MMA,0.0,0.0,504.0,586.0,27.6,77.0,,,,,Es-Souni&-Cu/CMn-1990-0.8aw,,,1,0,Es
0.076,0.33,1.48,0.007,0.006,,,,,0.35,,,400.0,40.0,,,,,,,,170.0,21.0,1.0,1.0,150,MMA,580.0,2.0,482.0,572.0,28.2,77.9,,,,,Es-Souni&-Cu/CMn-1990-0.8ht,,,1,0,Es
0.068,0.32,1.49,0.006,0.006,,,,,0.66,,,390.0,40.0,,,,,,,,170.0,21.0,1.0,1.0,150,MMA,0.0,0.0,513.0,593.0,28.6,77.0,,,,,Es-Souni&-Cu/CMn-1990-1.6aw,,,1,0,Es
0.068,0.32,1.49,0.006,0.006,,,,,0.66,,,390.0,40.0,,,,,,,,170.0,21.0,1.0,1.0,150,MMA,580.0,2.0,499.0,607.0,28.6,74.0,,,,,Es-Souni&-Cu/CMn-1990-1.6ht,,,1,0,Es
0.076,0.36,1.49,0.006,0.006,,,,,1.4,,,410.0,40.0,,,,,,,,170.0,21.0,1.0,1.0,150,MMA,0.0,0.0,568.0,647.0,27.4,73.0,,,,,Es-Souni&-Cu/CMn-1990-3.2aw,,,1,0,Es
0.076,0.36,1.49,0.006,0.006,,,,,1.4,,,410.0,40.0,,,,,,,,170.0,21.0,1.0,1.0,150,MMA,580.0,2.0,583.0,673.0,24.2,73.0,,,,,Es-Souni&-Cu/CMn-1990-3.2ht,,,1,0,Es
