Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.044,0.32,0.62,0.007,0.007,,,,,,,,,,,,,,,,,,,1.0,0.6,200,MMA,250.0,14.0,445.0,496.0,31.0,79.7,,,,,EvHtIp1979-0.6A,,,1,0,EvHtIp1979
0.044,0.32,0.62,0.007,0.007,,,,,,,,,,,,,,,,,,,1.0,0.6,200,MMA,0.0,0.0,,,,,-36.0,100.0,,,EvHtIp1979-0.6AC,,,1,0,EvHtIp1979
0.046,0.31,0.96,0.008,0.012,,,,,,,,,,,,,,,,,,,1.0,0.6,200,MMA,250.0,14.0,479.0,527.0,27.8,77.0,,,,,EvHtIp1979-0.6B,,,1,0,EvHtIp1979
0.046,0.31,0.96,0.008,0.012,,,,,,,,,,,,,,,,,,,1.0,0.6,200,MMA,0.0,0.0,,,,,-50.0,100.0,,,EvHtIp1979-0.6BC,,,1,0,EvHtIp1979
0.05,0.38,1.42,0.007,0.009,,,,,,,,,,,,,,,,,,,1.0,0.6,200,MMA,250.0,14.0,511.0,575.0,26.8,78.7,,,,,EvHtIp1979-0.6C,,,1,0,EvHtIp1979
0.05,0.38,1.42,0.007,0.009,,,,,,,,,,,,,,,,,,,1.0,0.6,200,MMA,0.0,0.0,,,,,-47.0,100.0,,,EvHtIp1979-0.6CC,,,1,0,EvHtIp1979
0.055,0.35,1.93,0.007,0.011,,,,,,,,,,,,,,,,,,,1.0,0.6,200,MMA,250.0,14.0,587.0,633.0,24.2,76.9,,,,,EvHtIp1979-0.6D,,,1,0,EvHtIp1979
0.055,0.35,1.93,0.007,0.011,,,,,,,,,,,,,,,,,,,1.0,0.6,200,MMA,0.0,0.0,,,,,-28.0,100.0,,,EvHtIp1979-0.6DC,,,1,0,EvHtIp1979
0.037,0.29,0.6,0.006,0.009,,,,,,,,,,,,,,,,,,,1.0,1.0,200,MMA,250.0,14.0,401.0,466.0,32.0,81.5,,,,,EvHtIp1979-1.0A,,,1,0,EvHtIp1979
0.037,0.29,0.6,0.006,0.009,,,,,,,,,,,,,,,,,,,1.0,1.0,200,MMA,0.0,0.0,,,,,-31.0,100.0,,,EvHtIp1979-1.0AC,,,1,0,EvHtIp1979
0.039,0.29,0.94,0.007,0.011,,,,,,,,,,,,,,,,,,,1.0,1.0,200,MMA,250.0,14.0,438.0,501.0,32.6,80.6,,,,,EvHtIp1979-1.0B,,,1,0,EvHtIp1979
0.039,0.29,0.94,0.007,0.011,,,,,,,,,,,,,,,,,,,1.0,1.0,200,MMA,0.0,0.0,,,,,-46.0,100.0,,,EvHtIp1979-1.0BC,,,1,0,EvHtIp1979
