Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.073,0.34,0.64,0.008,0.007,0.0,0.0,0.0,0.0005,0.0,,,450.0,7.0,63.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,404.0,494.0,32.4,76.0,,,,,EvansLetter-Ao+,,,0,0,EvansLetter
0.073,0.34,0.64,0.008,0.007,0.0,0.0,0.0,0.0005,0.0,,,450.0,7.0,63.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-46.0,100.0,,,EvansLetter-Ao+ch1,,,0,0,EvansLetter
0.073,0.34,0.64,0.008,0.007,0.0,0.0,0.0,0.0005,0.0,,,450.0,7.0,63.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-70.0,28.0,,,EvansLetter-Ao+ch2,,,0,0,EvansLetter
0.064,0.3,0.63,0.006,0.008,0.92,0.0,0.0,0.0005,0.0,,,473.0,5.0,70.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,423.0,501.0,31.8,77.0,,,,,EvansLetter-Ao+1Ni,,,0,0,EvansLetter
0.064,0.3,0.63,0.006,0.008,0.92,0.0,0.0,0.0005,0.0,,,473.0,5.0,70.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-63.0,100.0,,,EvansLetter-Ao+1Nich1,,,0,0,EvansLetter
0.064,0.3,0.63,0.006,0.008,0.92,0.0,0.0,0.0005,0.0,,,473.0,5.0,70.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-88.0,28.0,,,EvansLetter-Ao+1Nich2,,,0,0,EvansLetter
0.065,0.26,0.61,0.007,0.007,2.14,0.0,0.0,0.0005,0.0,,,488.0,5.0,86.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,443.0,528.0,32.4,76.0,,,,,EvansLetter-Ao+2Ni,,,0,0,EvansLetter
0.065,0.26,0.61,0.007,0.007,2.14,0.0,0.0,0.0005,0.0,,,488.0,5.0,86.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-65.0,100.0,,,EvansLetter-Ao+2Nich1,,,0,0,EvansLetter
0.065,0.26,0.61,0.007,0.007,2.14,0.0,0.0,0.0005,0.0,,,488.0,5.0,86.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-95.0,28.0,,,EvansLetter-Ao+2Nich2,,,0,0,EvansLetter
0.062,0.29,0.62,0.007,0.007,3.01,0.0,0.0,0.0005,0.0,,,500.0,6.0,72.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,457.0,543.0,27.6,77.0,,,,,EvansLetter-Ao+3Ni,,,0,0,EvansLetter
