,0
Carbon concentration / weight %,0.0
Silicon concentration / weight %,0.0
Manganese concentration / weight %,0.0
Sulphur concentration / weight %,0.0
Phosphorus concentration / weight %,0.0
Nickel concentration / weight %,0.0
Chromium concentration / weight %,0.0
Molybdenum concentration / weight %,0.0
Vanadium concentration / weight %,0.0
Copper concentration / weight %,0.0
Cobalt concentration / weight %,100.0
Tungsten concentration / weight %,100.0
Oxygen concentration / parts per million by weight,0.0
Titanium concentration / parts per million by weight,0.0
Nitrogen concentration / parts per million by weight,0.0
Aluminium concentration / parts per million by weight,0.0
Boron concentration / parts per million by weight,0.0
Niobium concentration / parts per million by weight,0.0
Tin concentration / parts per million by weight,100.0
Arsenic concentration / parts per million by weight,100.0
Antimony concentration / parts per million by weight,100.0
Current / A,100.0
Voltage / V,100.0
AC or DC,0.0
Heat input / kJ mm^{-1},0.0
Interpass temperature / °C,0.0
Type of weld,0.0
Post weld heat treatment temperature / °C,0.0
Post weld heat treatment time / hours,0.0
Yield strength / MPa,66.67
Ultimate tensile strength / MPa,66.67
Elongation / %,67.31
Reduction of Area / %,66.67
Charpy temperature / °C,33.33
Charpy impact toughness / J,33.33
Hardness / kg mm^{-2},100.0
50% FATT,100.0
Weld ID,0.0
Nitrogen residual concentration,100.0
Hardness scale,100.0
Electrode Positive,0.0
Electrode Negative,0.0
Group,0.0
