,0
Carbon concentration / weight %,0.0
Silicon concentration / weight %,0.0
Manganese concentration / weight %,0.0
Sulphur concentration / weight %,0.0
Phosphorus concentration / weight %,0.0
Nickel concentration / weight %,89.86
Chromium concentration / weight %,85.29
Molybdenum concentration / weight %,93.57
Vanadium concentration / weight %,59.43
Copper concentration / weight %,100.0
Cobalt concentration / weight %,98.14
Tungsten concentration / weight %,98.14
Oxygen concentration / parts per million by weight,34.57
Titanium concentration / parts per million by weight,43.86
Nitrogen concentration / parts per million by weight,34.57
Aluminium concentration / parts per million by weight,49.57
Boron concentration / parts per million by weight,61.29
Niobium concentration / parts per million by weight,59.43
Tin concentration / parts per million by weight,100.0
Arsenic concentration / parts per million by weight,100.0
Antimony concentration / parts per million by weight,100.0
Current / A,0.0
Voltage / V,0.0
AC or DC,0.0
Heat input / kJ mm^{-1},0.0
Interpass temperature / °C,0.0
Type of weld,0.0
Post weld heat treatment temperature / °C,0.0
Post weld heat treatment time / hours,0.0
Yield strength / MPa,52.71
Ultimate tensile strength / MPa,52.71
Elongation / %,52.86
Reduction of Area / %,52.71
Charpy temperature / °C,37.57
Charpy impact toughness / J,37.57
Hardness / kg mm^{-2},100.0
50% FATT,100.0
Weld ID,0.0
Nitrogen residual concentration,100.0
Hardness scale,100.0
Electrode Positive,0.0
Electrode Negative,0.0
Group,0.0
