,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Weld ID,Electrode Positive,Electrode Negative,Group
0,0.12,0.29,1.46,0.025,0.028,0.056,0.056,0.005,0.12,0.09,421.6666666666667,50.0,106.33333333333333,180.0,40.0,50.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,570.0,681.0333333333333,29.0,68.0,Gar&K-1975-25mm-1aw,1,0,Gar&K
1,0.12,0.29,1.46,0.025,0.028,0.056,0.056,0.005,0.12,0.09,421.6666666666667,50.0,106.33333333333333,180.0,40.0,50.0,650.0,33.0,1.0,3.3,300,SA,251.1627906976744,0.313953488372093,605.0,681.0333333333333,16.0,48.0,Gar&K-1975-25mm-1ht,1,0,Gar&K
2,0.11,0.45,1.67,0.014,0.02,0.042,0.04,0.005,0.096,0.11,421.6666666666667,70.0,106.33333333333333,240.0,50.0,90.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,600.0,681.0333333333333,30.0,68.0,Gar&K-1975-25mm-2aw,1,0,Gar&K
3,0.11,0.45,1.67,0.014,0.02,0.042,0.04,0.005,0.096,0.11,421.6666666666667,70.0,106.33333333333333,240.0,50.0,90.0,650.0,33.0,1.0,3.3,300,SA,251.1627906976744,0.313953488372093,665.0,681.0333333333333,29.0,66.0,Gar&K-1975-25mm-2ht,1,0,Gar&K
4,0.15,0.3,1.57,0.026,0.028,0.07,0.059,0.11,0.122,0.093,421.6666666666667,60.0,106.33333333333333,170.0,60.0,60.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,661.0,681.0333333333333,20.0,68.0,Gar&K-1975-25mm-3aw,1,0,Gar&K
5,0.15,0.3,1.57,0.026,0.028,0.07,0.059,0.11,0.122,0.093,421.6666666666667,60.0,106.33333333333333,170.0,60.0,60.0,650.0,33.0,1.0,3.3,300,SA,251.1627906976744,0.313953488372093,715.0,681.0333333333333,16.0,62.0,Gar&K-1975-25mm-3ht,1,0,Gar&K
6,0.14,0.33,1.67,0.02,0.026,0.07,0.066,0.188,0.098,0.01,421.6666666666667,80.0,106.33333333333333,160.0,80.0,70.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,690.0,681.0333333333333,15.0,62.0,Gar&K-1975-25mm-4aw,1,0,Gar&K
7,0.14,0.33,1.67,0.02,0.026,0.07,0.066,0.188,0.098,0.01,421.6666666666667,80.0,106.33333333333333,160.0,80.0,70.0,650.0,33.0,1.0,3.3,300,SA,251.1627906976744,0.313953488372093,784.0,681.0333333333333,17.0,64.0,Gar&K-1975-25mm-4ht,1,0,Gar&K
8,0.13,0.3,1.38,0.014,0.028,0.058,0.06,0.005,0.095,0.08,421.6666666666667,60.0,106.33333333333333,150.0,50.0,50.0,850.0,38.0,1.0,7.6,300,SA,0.0,0.0,530.0,681.0333333333333,14.0,60.0,Gar&K-1975-25mm-5aw,1,0,Gar&K
9,0.13,0.3,1.38,0.014,0.028,0.058,0.06,0.005,0.095,0.08,421.6666666666667,60.0,106.33333333333333,150.0,50.0,50.0,850.0,38.0,1.0,7.6,300,SA,251.1627906976744,0.313953488372093,588.0,681.0333333333333,25.0,50.0,Gar&K-1975-25mm-5ht,1,0,Gar&K
10,0.12,0.34,1.67,0.024,0.03,0.053,0.06,0.005,0.115,0.06,421.6666666666667,60.0,106.33333333333333,160.0,50.0,50.0,850.0,38.0,1.0,7.6,300,SA,0.0,0.0,521.0,681.0333333333333,30.0,60.0,Gar&K-1975-25mm-6aw,1,0,Gar&K
11,0.12,0.34,1.67,0.024,0.03,0.053,0.06,0.005,0.115,0.06,421.6666666666667,60.0,106.33333333333333,160.0,50.0,50.0,850.0,38.0,1.0,7.6,300,SA,251.1627906976744,0.313953488372093,604.0,681.0333333333333,30.0,48.0,Gar&K-1975-25mm-6ht,1,0,Gar&K
12,0.13,0.27,1.46,0.011,0.026,0.068,0.062,0.26,0.103,0.105,421.6666666666667,60.0,106.33333333333333,150.0,50.0,50.0,850.0,38.0,1.0,7.6,300,SA,0.0,0.0,641.0,681.0333333333333,32.0,50.0,Gar&K-1975-25mm-7aw,1,0,Gar&K
13,0.13,0.27,1.46,0.011,0.026,0.068,0.062,0.26,0.103,0.105,421.6666666666667,60.0,106.33333333333333,150.0,50.0,50.0,850.0,38.0,1.0,7.6,300,SA,251.1627906976744,0.313953488372093,720.0,681.0333333333333,15.0,55.0,Gar&K-1975-25mm-7ht,1,0,Gar&K
14,0.1,0.28,1.45,0.023,0.037,0.065,0.058,0.24,0.11,0.09,421.6666666666667,50.0,106.33333333333333,170.0,50.0,40.0,850.0,38.0,1.0,7.6,300,SA,0.0,0.0,620.0,681.0333333333333,15.0,55.0,Gar&K-1975-25mm-8aw,1,0,Gar&K
15,0.1,0.28,1.45,0.023,0.037,0.065,0.058,0.24,0.11,0.09,421.6666666666667,50.0,106.33333333333333,170.0,50.0,40.0,850.0,38.0,1.0,7.6,300,SA,251.1627906976744,0.313953488372093,740.0,681.0333333333333,21.0,60.0,Gar&K-1975-25mm-8ht,1,0,Gar&K
16,0.11,0.28,1.39,0.009,0.017,0.065,0.069,0.008,0.032,0.12,421.6666666666667,50.0,106.33333333333333,180.0,50.0,10.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,525.0,681.0333333333333,31.0,62.0,Gar&K-1975-25mm-9aw,1,0,Gar&K
17,0.11,0.28,1.39,0.009,0.017,0.065,0.069,0.008,0.032,0.12,421.6666666666667,50.0,106.33333333333333,180.0,50.0,10.0,650.0,33.0,1.0,3.3,300,SA,251.1627906976744,0.313953488372093,540.0,681.0333333333333,26.0,70.0,Gar&K-1975-25mm-9ht,1,0,Gar&K
18,0.1,0.38,1.58,0.013,0.016,0.046,0.053,0.006,0.032,0.12,421.6666666666667,60.0,106.33333333333333,180.0,50.0,10.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,540.0,681.0333333333333,30.0,60.0,Gar&K-1975-25mm-10aw,1,0,Gar&K
