,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Copper concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Hardness / kg mm^{-2},50% FATT,Weld ID,Electrode Positive,Electrode Negative,Group
0,0.05,0.29,0.72,0.007,0.009,0.77,0.52,0.23,1.19,250.0,70.0,80.0,210.0,21.0,330.0,680.0,34.0,1.0,2.0,200,SA,0.0,0.0,649.0,257.0,6.0,Hunt&-Di-1994-1,1,0,Hunt&
1,0.05,0.27,0.75,0.006,0.01,0.75,0.5,0.23,1.05,190.0,70.0,80.0,180.0,21.0,320.0,680.0,34.0,1.0,3.3,200,SA,0.0,0.0,576.0,227.0,-10.0,Hunt&-Di-1994-2,1,0,Hunt&
2,0.05,0.26,0.75,0.006,0.01,0.75,0.5,0.24,1.04,210.0,70.0,80.0,180.0,25.0,320.0,680.0,34.0,1.0,4.6,200,SA,0.0,0.0,556.0,224.0,-40.0,Hunt&-Di-1994-3,1,0,Hunt&
3,0.05,0.27,0.77,0.005,0.01,0.73,0.49,0.24,1.04,210.0,70.0,80.0,170.0,25.0,310.0,665.0,34.0,1.0,5.3,200,SA,0.0,0.0,538.0,226.0,-60.0,Hunt&-Di-1994-4,1,0,Hunt&
4,0.05,0.26,0.98,0.005,0.012,0.54,0.41,0.27,0.85,240.0,100.0,80.0,140.0,26.0,200.0,670.0,34.0,1.0,2.0,200,SA,0.0,0.0,571.0,234.0,-126.0,Hunt&-Di-1994-5,1,0,Hunt&
5,0.05,0.25,0.98,0.005,0.011,0.55,0.42,0.27,0.81,230.0,100.0,80.0,150.0,26.0,210.0,670.0,34.0,1.0,3.3,200,SA,0.0,0.0,561.0,217.0,-126.0,Hunt&-Di-1994-6,1,0,Hunt&
6,0.05,0.24,0.97,0.005,0.012,0.53,0.4,0.26,0.82,230.0,90.0,80.0,140.0,21.0,200.0,670.0,34.0,1.0,4.6,200,SA,0.0,0.0,552.0,213.0,-106.0,Hunt&-Di-1994-7,1,0,Hunt&
7,0.04,0.24,0.98,0.005,0.012,0.53,0.4,0.27,0.82,210.0,90.0,80.0,130.0,25.0,190.0,670.0,34.0,1.0,5.3,200,SA,0.0,0.0,541.0,209.0,-106.0,Hunt&-Di-1994-8,1,0,Hunt&
8,0.05,0.35,0.79,0.007,0.011,1.39,0.56,0.28,0.96,210.0,40.0,80.0,200.0,15.0,330.0,640.0,34.0,1.0,2.0,200,SA,0.0,0.0,678.0,259.0,6.0,Hunt&-Di-1994-9,1,0,Hunt&
9,0.05,0.36,0.82,0.007,0.011,1.44,0.55,0.29,0.92,190.0,50.0,80.0,190.0,14.0,320.0,660.0,34.0,1.0,3.3,200,SA,0.0,0.0,636.0,239.0,7.0,Hunt&-Di-1994-10,1,0,Hunt&
10,0.05,0.36,0.85,0.007,0.012,1.49,0.55,0.31,0.89,210.0,40.0,80.0,170.0,19.0,320.0,660.0,34.0,1.0,4.6,200,SA,0.0,0.0,601.0,223.0,-15.0,Hunt&-Di-1994-11,1,0,Hunt&
11,0.05,0.36,0.86,0.007,0.012,1.5,0.54,0.31,0.87,200.0,50.0,80.0,160.0,17.0,310.0,660.0,34.0,1.0,5.3,200,SA,0.0,0.0,585.0,230.0,-40.0,Hunt&-Di-1994-12,1,0,Hunt&
12,0.05,0.39,1.1,0.006,0.013,1.87,0.53,0.37,0.57,220.0,60.0,70.0,160.0,12.0,210.0,660.0,34.0,1.0,2.0,200,SA,0.0,0.0,592.0,252.0,-73.0,Hunt&-Di-1994-13,1,0,Hunt&
13,0.05,0.38,1.11,0.005,0.014,1.89,0.52,0.37,0.56,220.0,50.0,70.0,150.0,11.0,200.0,660.0,34.0,1.0,3.3,200,SA,0.0,0.0,555.0,241.0,-64.0,Hunt&-Di-1994-14,1,0,Hunt&
14,0.05,0.39,1.1,0.006,0.013,1.87,0.52,0.37,0.57,220.0,60.0,80.0,140.0,13.0,210.0,660.0,34.0,1.0,4.6,200,SA,0.0,0.0,547.0,231.0,-68.0,Hunt&-Di-1994-15,1,0,Hunt&
15,0.05,0.4,1.12,0.006,0.014,1.9,0.51,0.37,0.55,210.0,60.0,70.0,140.0,11.0,200.0,660.0,34.0,1.0,5.3,200,SA,0.0,0.0,543.0,229.0,-64.0,Hunt&-Di-1994-16,1,0,Hunt&
