,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Oxygen concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Niobium concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Weld ID,Electrode Positive,Electrode Negative,Group
0,0.11,0.14,0.73,0.002,0.005,2.3,1.03,0.27,254.0,26.0,200.0,500.0,29.0,0.0,2.9,200,SA,690.0,8.0,738.0,22.825000000000003,70.1125,-30.0,51.8125,Icici&-1992-CM1,0,0,Icici&
1,0.11,0.14,0.73,0.002,0.005,2.3,1.03,0.27,254.0,26.0,200.0,500.0,29.0,0.0,2.9,200,SA,690.0,8.0,724.6666666666666,22.825000000000003,70.1125,-40.0,10.0,Icici&-1992-CM1ch1,0,0,Icici&
2,0.11,0.14,0.73,0.002,0.005,2.3,1.03,0.27,254.0,26.0,200.0,500.0,29.0,0.0,2.9,200,SA,690.0,8.0,724.6666666666666,22.825000000000003,70.1125,-40.0,12.0,Icici&-1992-CM1ch2,0,0,Icici&
3,0.11,0.14,0.73,0.002,0.005,2.3,1.03,0.27,254.0,26.0,200.0,500.0,29.0,0.0,2.9,200,SA,690.0,8.0,724.6666666666666,22.825000000000003,70.1125,-40.0,17.0,Icici&-1992-CM1ch3,0,0,Icici&
4,0.11,0.14,0.73,0.002,0.005,2.3,1.03,0.27,254.0,26.0,200.0,500.0,29.0,0.0,2.9,200,SA,690.0,8.0,724.6666666666666,22.825000000000003,70.1125,-20.0,13.0,Icici&-1992-CM1ch4,0,0,Icici&
5,0.11,0.14,0.73,0.002,0.005,2.3,1.03,0.27,254.0,26.0,200.0,500.0,29.0,0.0,2.9,200,SA,690.0,8.0,724.6666666666666,22.825000000000003,70.1125,-20.0,18.0,Icici&-1992-CM1ch5,0,0,Icici&
6,0.11,0.14,0.73,0.002,0.005,2.3,1.03,0.27,254.0,26.0,200.0,500.0,29.0,0.0,2.9,200,SA,690.0,8.0,724.6666666666666,22.825000000000003,70.1125,-20.0,22.0,Icici&-1992-CM1ch6,0,0,Icici&
7,0.11,0.14,0.73,0.002,0.005,2.3,1.03,0.27,254.0,26.0,200.0,500.0,29.0,0.0,2.9,200,SA,690.0,24.0,685.0,22.825000000000003,70.1125,-30.0,51.8125,Icici&-1992-CM1,0,0,Icici&
8,0.12,0.14,1.03,0.002,0.006,2.3,1.03,0.27,166.0,22.0,200.0,500.0,29.0,0.0,2.9,200,SA,690.0,8.0,745.0,22.825000000000003,70.1125,-30.0,51.8125,Icici&-1992-CM2,0,0,Icici&
9,0.12,0.14,1.03,0.002,0.006,2.3,1.03,0.27,166.0,22.0,200.0,500.0,29.0,0.0,2.9,200,SA,690.0,8.0,724.6666666666666,22.825000000000003,70.1125,-40.0,37.0,Icici&-1992-CM2ch1,0,0,Icici&
10,0.12,0.14,1.03,0.002,0.006,2.3,1.03,0.27,166.0,22.0,200.0,500.0,29.0,0.0,2.9,200,SA,690.0,8.0,724.6666666666666,22.825000000000003,70.1125,-40.0,53.0,Icici&-1992-CM2ch2,0,0,Icici&
11,0.12,0.14,1.03,0.002,0.006,2.3,1.03,0.27,166.0,22.0,200.0,500.0,29.0,0.0,2.9,200,SA,690.0,8.0,724.6666666666666,22.825000000000003,70.1125,-20.0,96.0,Icici&-1992-CM2ch2,0,0,Icici&
12,0.12,0.14,1.03,0.002,0.006,2.3,1.03,0.27,166.0,22.0,200.0,500.0,29.0,0.0,2.9,200,SA,690.0,8.0,724.6666666666666,22.825000000000003,70.1125,-20.0,149.0,Icici&-1992-CM2ch4,0,0,Icici&
13,0.12,0.14,1.03,0.002,0.006,2.3,1.03,0.27,166.0,22.0,200.0,500.0,29.0,0.0,2.9,200,SA,690.0,8.0,724.6666666666666,22.825000000000003,70.1125,-20.0,172.0,Icici&-1992-CM2ch5,0,0,Icici&
14,0.12,0.14,1.03,0.002,0.006,2.3,1.03,0.27,166.0,22.0,200.0,500.0,29.0,0.0,2.9,200,SA,690.0,24.0,696.0,22.825000000000003,70.1125,-30.0,51.8125,Icici&-1992-CM2,0,0,Icici&
15,0.14,0.18,0.75,0.002,0.005,2.3,1.01,0.27,256.0,21.0,200.0,500.0,29.0,0.0,2.9,200,SA,690.0,8.0,770.0,22.825000000000003,70.1125,-30.0,51.8125,Icici&-1992-CM3,0,0,Icici&
16,0.14,0.18,0.75,0.002,0.005,2.3,1.01,0.27,256.0,21.0,200.0,500.0,29.0,0.0,2.9,200,SA,690.0,8.0,724.6666666666666,22.825000000000003,70.1125,-40.0,24.0,Icici&-1992-CM3ch1,0,0,Icici&
