Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.07,0.53,1.72,0.012,0.016,0.01,0.03,0.01,0.01,0.03,,,176.0,240.0,54.0,210.0,7.0,,,,,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,462.0,638.0,31.0,67.0,-28.0,35.0,,,Kluket-CuMnB-1994-1,,,1,0,Kluket
0.08,0.59,1.84,0.013,0.016,0.01,0.05,0.01,0.01,0.38,,,155.0,230.0,54.0,240.0,8.0,,,,,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,507.0,694.0,30.0,58.0,9.0,35.0,,,Kluket-CuMnB-1994-2,,,1,0,Kluket
0.08,0.62,1.86,0.013,0.016,0.01,0.05,0.01,0.01,0.81,,,174.0,230.0,54.0,220.0,10.0,,,,,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,523.0,714.0,30.0,53.0,-5.0,35.0,,,Kluket-CuMnB-1994-3,,,1,0,Kluket
0.08,0.58,1.83,0.013,0.016,0.45,0.05,0.01,0.01,0.03,,,171.0,230.0,55.0,230.0,6.0,,,,,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,522.0,709.0,30.0,54.0,-11.0,35.0,,,Kluket-CuMnB-1994-4,,,1,0,Kluket
0.08,0.59,1.84,0.013,0.015,0.45,0.05,0.01,0.01,0.4,,,168.0,250.0,49.0,240.0,9.0,,,,,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,500.0,731.0,28.0,49.0,11.0,35.0,,,Kluket-CuMnB-1994-5,,,1,0,Kluket
0.08,0.62,1.85,0.013,0.017,0.45,0.05,0.01,0.01,0.81,,,152.0,220.0,52.0,240.0,10.0,,,,,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,504.0,743.0,27.0,46.0,18.0,35.0,,,Kluket-CuMnB-1994-6,,,1,0,Kluket
0.08,0.62,1.83,0.013,0.014,1.51,0.05,0.01,0.01,0.03,,,185.0,230.0,67.0,200.0,7.0,,,,,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,515.0,737.0,26.0,48.0,0.0,35.0,,,Kluket-CuMnB-1994-7,,,1,0,Kluket
0.07,0.59,1.85,0.013,0.014,1.5,0.05,0.01,0.01,0.42,,,146.0,250.0,57.0,200.0,9.0,,,,,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,515.0,810.0,24.0,41.0,30.0,35.0,,,Kluket-CuMnB-1994-8,,,1,0,Kluket
0.08,0.66,1.92,0.013,0.015,1.54,0.05,0.01,0.01,0.89,,,148.0,260.0,51.0,230.0,13.0,,,,,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,542.0,829.0,26.0,51.0,33.0,35.0,,,Kluket-CuMnB-1994-9,,,1,0,Kluket
0.09,0.63,1.9,0.013,0.015,0.01,0.05,0.01,0.01,0.04,,,165.0,250.0,56.0,190.0,36.0,,,,,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,466.0,761.0,29.0,44.0,37.0,35.0,,,Kluket-CuMnB-1994-10,,,1,0,Kluket
0.08,0.67,1.94,0.013,0.015,0.51,0.05,0.01,0.01,0.43,,,142.0,280.0,57.0,220.0,40.0,,,,,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,489.0,807.0,27.0,42.0,51.0,35.0,,,Kluket-CuMnB-1994-11,,,1,0,Kluket
0.08,0.68,1.94,0.013,0.015,1.54,0.05,0.01,0.01,0.85,,,132.0,290.0,55.0,270.0,44.0,,,,,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,546.0,869.0,21.0,28.0,55.0,35.0,,,Kluket-CuMnB-1994-12,,,1,0,Kluket
