,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Oxygen concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Weld ID,Electrode Positive,Electrode Negative,Group
0,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,97.0,0.009,0.01,0.008,300.0,28.0,1.0,2.04,150,FCA,690.0,10.0,440.0,540.0,24.0,67.0,-5.873015873015873,66.66666666666667,Mart-A,1,0,Mart
1,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,97.0,0.009,0.01,0.008,300.0,28.0,1.0,2.04,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-80.0,9.0,Mart-Aa,1,0,Mart
2,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,97.0,0.009,0.01,0.008,300.0,28.0,1.0,2.04,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-70.0,9.0,Mart-Ab,1,0,Mart
3,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,97.0,0.009,0.01,0.008,300.0,28.0,1.0,2.04,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-60.0,9.0,Mart-Ac,1,0,Mart
4,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,97.0,0.009,0.01,0.008,300.0,28.0,1.0,2.04,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-40.0,19.0,Mart-Ad,1,0,Mart
5,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,97.0,0.009,0.01,0.008,300.0,28.0,1.0,2.04,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-30.0,28.0,Mart-Ae,1,0,Mart
6,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,97.0,0.009,0.01,0.008,300.0,28.0,1.0,2.04,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-20.0,43.0,Mart-Af,1,0,Mart
7,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,97.0,0.009,0.01,0.008,300.0,28.0,1.0,2.04,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,0.0,117.0,Mart-Ag,1,0,Mart
8,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,97.0,0.009,0.01,0.008,300.0,28.0,1.0,2.04,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,20.0,179.0,Mart-Ah,1,0,Mart
9,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,97.0,0.009,0.01,0.008,300.0,28.0,1.0,2.04,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,40.0,204.0,Mart-Ai,1,0,Mart
10,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,97.0,0.009,0.01,0.008,300.0,28.0,1.0,2.04,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,60.0,210.0,Mart-Aj,1,0,Mart
11,0.07,0.08,0.98,0.01,0.01,0.27,2.07,1.07,0.015,891.0,97.0,0.009,0.01,0.008,300.0,28.0,1.0,2.04,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,70.0,210.0,Mart-Ak,1,0,Mart
12,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,768.0,266.0,0.008,0.03,0.008,300.0,28.0,1.0,1.96,150,FCA,690.0,10.0,506.0,598.0,22.0,70.0,-5.873015873015873,66.66666666666667,Mart-B,1,0,Mart
13,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,768.0,266.0,0.008,0.03,0.008,300.0,28.0,1.0,1.96,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-70.0,6.0,Mart-Ba,1,0,Mart
14,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,768.0,266.0,0.008,0.03,0.008,300.0,28.0,1.0,1.96,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-60.0,6.0,Mart-Bs,1,0,Mart
15,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,768.0,266.0,0.008,0.03,0.008,300.0,28.0,1.0,1.96,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-40.0,15.0,Mart-Bc,1,0,Mart
16,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,768.0,266.0,0.008,0.03,0.008,300.0,28.0,1.0,1.96,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-20.0,68.0,Mart-Bd,1,0,Mart
17,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,768.0,266.0,0.008,0.03,0.008,300.0,28.0,1.0,1.96,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,0.0,120.0,Mart-Be,1,0,Mart
18,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,768.0,266.0,0.008,0.03,0.008,300.0,28.0,1.0,1.96,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,20.0,151.0,Mart-Bf,1,0,Mart
19,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,768.0,266.0,0.008,0.03,0.008,300.0,28.0,1.0,1.96,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,40.0,160.0,Mart-Bg,1,0,Mart
20,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,768.0,266.0,0.008,0.03,0.008,300.0,28.0,1.0,1.96,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,60.0,164.0,Mart-Bh,1,0,Mart
21,0.043,0.12,0.86,0.011,0.017,0.2,2.01,0.93,0.02,922.0,123.0,0.008,0.008,0.008,300.0,20.0,1.0,2.08,150,FCA,690.0,10.0,505.0,600.0,19.0,69.0,-5.873015873015873,66.66666666666667,Mart-C,1,0,Mart
22,0.043,0.12,0.86,0.011,0.017,0.2,2.01,0.93,0.02,922.0,123.0,0.008,0.008,0.008,300.0,20.0,1.0,2.08,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-70.0,3.0,Mart-Ca,1,0,Mart
23,0.043,0.12,0.86,0.011,0.017,0.2,2.01,0.93,0.02,922.0,123.0,0.008,0.008,0.008,300.0,20.0,1.0,2.08,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-60.0,3.0,Mart-Cb,1,0,Mart
24,0.043,0.12,0.86,0.011,0.017,0.2,2.01,0.93,0.02,922.0,123.0,0.008,0.008,0.008,300.0,20.0,1.0,2.08,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-20.0,9.0,Mart-Cc,1,0,Mart
