Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.05,0.46,0.96,0.01,0.017,0.03,,0.01,,0.02,,,443.0,,84.0,,,,,,,170.0,21.0,1.0,1.8,100,MMA,250.0,16.0,449.0,542.0,,,,,,,RaiterGonzal-Mo-1989-1aw,,,1,0,RaiterGonzal
0.05,0.46,0.96,0.01,0.017,0.03,,0.01,,0.02,,,443.0,,84.0,,,,,,,170.0,21.0,1.0,1.8,100,MMA,620.0,1.0,416.0,507.0,,,,,,,RaiterGonzal-Mo-1989-1ht,,,1,0,RaiterGonzal
0.045,0.48,0.97,0.01,0.018,0.03,,0.32,,0.02,,,430.0,,107.0,,,,,,,170.0,21.0,1.0,1.8,100,MMA,250.0,16.0,494.0,570.0,,,,,,,RaiterGonzal-Mo-1989-2aw,,,1,0,RaiterGonzal
0.045,0.48,0.97,0.01,0.018,0.03,,0.32,,0.02,,,430.0,,107.0,,,,,,,170.0,21.0,1.0,1.8,100,MMA,620.0,1.0,485.0,584.0,,,,,,,RaiterGonzal-Mo-1989-2ht,,,1,0,RaiterGonzal
0.05,0.41,0.92,0.011,0.019,0.02,,0.51,,0.02,,,450.0,,114.0,,,,,,,170.0,21.0,1.0,1.8,100,MMA,250.0,16.0,514.0,594.0,,,,,,,RaiterGonzal-Mo-1989-3aw,,,1,0,RaiterGonzal
0.05,0.41,0.92,0.011,0.019,0.02,,0.51,,0.02,,,450.0,,114.0,,,,,,,170.0,21.0,1.0,1.8,100,MMA,620.0,1.0,538.0,626.0,,,,,,,RaiterGonzal-Mo-1989-3ht,,,1,0,RaiterGonzal
0.06,0.44,1.6,0.01,0.018,0.03,,0.01,,0.02,,,395.0,,102.0,,,,,,,170.0,21.0,1.0,1.8,100,MMA,250.0,16.0,550.0,615.0,,,,,,,RaiterGonzal-Mo-1989-4aw,,,1,0,RaiterGonzal
0.06,0.44,1.6,0.01,0.018,0.03,,0.01,,0.02,,,395.0,,102.0,,,,,,,170.0,21.0,1.0,1.8,100,MMA,620.0,1.0,494.0,556.0,,,,,,,RaiterGonzal-Mo-1989-4ht,,,1,0,RaiterGonzal
0.06,0.46,1.63,0.01,0.02,0.02,,0.34,,0.02,,,407.0,,106.0,,,,,,,170.0,21.0,1.0,1.8,100,MMA,250.0,16.0,612.0,688.0,,,,,,,RaiterGonzal-Mo-1989-5aw,,,1,0,RaiterGonzal
0.06,0.46,1.63,0.01,0.02,0.02,,0.34,,0.02,,,407.0,,106.0,,,,,,,170.0,21.0,1.0,1.8,100,MMA,620.0,1.0,591.0,674.0,,,,,,,RaiterGonzal-Mo-1989-5ht,,,1,0,RaiterGonzal
0.055,0.48,1.62,0.011,0.021,0.02,,0.54,,0.02,,,371.0,,93.0,,,,,,,170.0,21.0,1.0,1.8,100,MMA,250.0,16.0,673.0,737.0,,,,,,,RaiterGonzal-Mo-1989-6aw,,,1,0,RaiterGonzal
0.055,0.48,1.62,0.011,0.021,0.02,,0.54,,0.02,,,371.0,,93.0,,,,,,,170.0,21.0,1.0,1.8,100,MMA,620.0,1.0,628.0,727.0,,,,,,,RaiterGonzal-Mo-1989-6ht,,,1,0,RaiterGonzal
0.06,0.42,2.0,0.01,0.02,0.02,,0.01,,0.02,,,371.0,,117.0,,,,,,,170.0,21.0,1.0,1.8,100,MMA,250.0,16.0,583.0,664.0,,,,,,,RaiterGonzal-Mo-1989-7aw,,,1,0,RaiterGonzal
0.06,0.42,2.0,0.01,0.02,0.02,,0.01,,0.02,,,371.0,,117.0,,,,,,,170.0,21.0,1.0,1.8,100,MMA,620.0,1.0,530.0,626.0,,,,,,,RaiterGonzal-Mo-1989-7ht,,,1,0,RaiterGonzal
0.06,0.39,1.95,0.01,0.021,0.02,,0.34,,0.02,,,395.0,,125.0,,,,,,,170.0,21.0,1.0,1.8,100,MMA,250.0,16.0,677.0,741.0,,,,,,,RaiterGonzal-Mo-1989-8aw,,,1,0,RaiterGonzal
0.06,0.39,1.95,0.01,0.021,0.02,,0.34,,0.02,,,395.0,,125.0,,,,,,,170.0,21.0,1.0,1.8,100,MMA,620.0,1.0,632.0,709.0,,,,,,,RaiterGonzal-Mo-1989-8ht,,,1,0,RaiterGonzal
0.055,0.39,1.99,0.01,0.022,0.02,,0.54,,0.02,,,364.0,,102.0,,,,,,,170.0,21.0,1.0,1.8,100,MMA,250.0,16.0,701.0,748.0,,,,,,,RaiterGonzal-Mo-1989-9aw,,,1,0,RaiterGonzal
0.055,0.39,1.99,0.01,0.022,0.02,,0.54,,0.02,,,364.0,,102.0,,,,,,,170.0,21.0,1.0,1.8,100,MMA,620.0,1.0,693.0,783.0,,,,,,,RaiterGonzal-Mo-1989-9ht,,,1,0,RaiterGonzal
