Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.125,0.26,1.34,0.012,0.013,0.07,0.05,0.003,0.005,,,,253.0,5.0,89.0,,,180.0,,,,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,505.0,589.0,,71.0,,,,,Stil-TiB-1978-1.5Mn/OP41TT,,,1,0,Stil
0.13,0.3,1.4,0.01,0.012,0.07,0.06,0.005,0.002,,,,430.0,0.5,95.0,,,180.0,,,,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,530.0,620.0,,63.0,,,,,Stil-TiB-1978-1.5Mn/BX200,,,1,0,Stil
0.11,0.26,1.3,0.013,0.017,0.06,0.04,0.003,0.005,,,,236.0,10.0,83.0,,,180.0,,,,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,460.0,584.0,,65.0,,,,,Stil-TiB-1978-1.5Mn/OP121TT,,,1,0,Stil
0.105,0.28,1.46,0.013,0.015,0.08,0.02,0.005,0.002,,,,357.0,5.0,92.0,,,160.0,,,,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,471.0,575.0,,66.0,,,,,Stil-TiB-1978-1.5Mn/OP122,,,1,0,Stil
0.115,0.22,1.3,0.012,0.016,0.13,0.05,0.005,,,,,255.0,,99.0,,,160.0,,,,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,473.0,609.0,,60.0,,,,,Stil-TiB-1978-1.5Mn/OP41TT,,,1,0,Stil
0.115,0.26,1.5,0.01,0.014,0.06,0.05,0.009,0.005,,,,455.0,5.0,100.0,,,170.0,,,,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,465.0,571.0,,70.0,,,,,Stil-TiB-1978-1.5Mn/BX200,,,1,0,Stil
0.115,0.25,1.35,0.012,0.01,0.08,0.02,0.009,0.003,,,,260.0,,94.0,,,170.0,,,,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,465.0,587.0,,69.0,,,,,Stil-TiB-1978-1.5Mn/OP121TT,,,1,0,Stil
0.105,0.3,1.5,0.018,0.011,0.08,0.03,0.011,0.0005,,,,370.0,,95.0,,,150.0,,,,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,423.0,564.0,,71.0,,,,,Stil-TiB-1978-1.5Mn/OP122,,,1,0,Stil
0.1055,0.23,1.21,0.012,0.012,0.07,0.03,0.17,0.002,,,,218.0,120.0,101.0,,16.0,,,,,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,504.0,589.0,,69.0,,,,,Stil-TiB-1978-TiBMo/OP41TT,,,1,0,Stil
0.105,0.24,1.39,0.012,0.012,0.07,0.03,0.15,0.003,,,,411.0,100.0,103.0,,20.0,190.0,,,,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,496.0,604.0,,65.0,,,,,Stil-TiB-1978-1978-TiBMo/BX200,,,1,0,Stil
0.12,0.26,1.33,0.012,0.017,0.06,0.03,0.12,0.002,,,,255.0,120.0,96.0,,13.0,,,,,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,508.0,604.0,,67.0,,,,,Stil-TiB-1978-1978-TiBMo/OP121TT,,,1,0,Stil
0.105,0.26,1.32,0.021,0.014,0.06,0.03,0.125,0.002,,,,362.0,100.0,101.0,,22.0,180.0,,,,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,549.0,629.0,,60.0,,,,,Stil-TiB-1978-TiBMo/OP122,,,1,0,Stil
0.12,0.25,1.26,0.01,0.013,0.06,0.03,0.145,0.002,,,,262.0,110.0,119.0,,20.0,160.0,,,,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,529.0,612.0,,61.0,,,,,Stil-TiB-1978-TiBMo/OP41TT,,,1,0,Stil
0.1,0.26,1.38,0.01,0.011,0.07,0.03,0.14,0.002,,,,416.0,120.0,116.0,,22.0,100.0,,,,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,460.0,583.0,,63.0,,,,,Stil-TiB-1978-TiBMo/BX200,,,1,0,Stil
0.11,0.25,1.28,0.01,0.012,0.07,0.03,0.15,0.003,,,,253.0,115.0,107.0,,21.0,180.0,,,,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,533.0,615.0,,62.0,,,,,Stil-TiB-1978-TiBMo/OP121TT,,,1,0,Stil
0.09,0.21,1.39,0.013,0.01,0.06,0.03,0.185,0.001,,,,340.0,120.0,108.0,,22.0,190.0,,,,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,479.0,587.0,,68.0,,,,,Stil-TiB-1978-TiBMo/OP122,,,1,0,Stil
