Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.03,0.45,0.78,0.013,0.01,,,,,,,,336.0,140.0,95.0,90.0,,,60.0,10.0,20.0,180.0,23.0,1.0,1.0,250,MMA,0.0,0.0,408.0,,,,,,,,SvenGret-1990-1,,,1,0,SvenGret
0.03,0.45,0.78,0.013,0.01,,,,,,,,336.0,140.0,95.0,90.0,,,60.0,10.0,20.0,180.0,23.0,1.0,1.0,250,MMA,0.0,0.0,,,,,-60.0,5.0,,,SvenGret-1990-1Ch-6,,,1,0,SvenGret
0.03,0.45,0.78,0.013,0.01,,,,,,,,336.0,140.0,95.0,90.0,,,60.0,10.0,20.0,180.0,23.0,1.0,1.0,250,MMA,0.0,0.0,,,,,-40.0,12.0,,,SvenGret-1990-1Ch-4,,,1,0,SvenGret
0.03,0.45,0.78,0.013,0.01,,,,,,,,336.0,140.0,95.0,90.0,,,60.0,10.0,20.0,180.0,23.0,1.0,1.0,250,MMA,0.0,0.0,,,,,-20.0,48.0,,,SvenGret-1990-1Ch-2,,,1,0,SvenGret
0.03,0.45,0.78,0.013,0.01,,,,,,,,336.0,140.0,95.0,90.0,,,60.0,10.0,20.0,180.0,23.0,1.0,1.0,250,MMA,0.0,0.0,,,,,0.0,136.0,,,SvenGret-1990-1Ch0,,,1,0,SvenGret
0.03,0.45,0.78,0.013,0.01,,,,,,,,336.0,140.0,95.0,90.0,,,60.0,10.0,20.0,180.0,23.0,1.0,1.0,250,MMA,0.0,0.0,,,,,20.0,212.0,,,SvenGret-1990-1Ch2,,,1,0,SvenGret
0.032,0.45,1.27,0.008,0.01,,,,,,,,321.0,130.0,94.0,90.0,,,60.0,10.0,30.0,180.0,23.0,1.0,1.0,250,MMA,0.0,0.0,440.0,,,,,,,,SvenGret-1990-2,,,1,0,SvenGret
0.032,0.45,1.27,0.008,0.01,,,,,,,,321.0,130.0,94.0,90.0,,,60.0,10.0,30.0,180.0,23.0,1.0,1.0,250,MMA,0.0,0.0,,,,,-60.0,10.0,,,SvenGret-1990-2Ch-6,,,1,0,SvenGret
0.032,0.45,1.27,0.008,0.01,,,,,,,,321.0,130.0,94.0,90.0,,,60.0,10.0,30.0,180.0,23.0,1.0,1.0,250,MMA,0.0,0.0,,,,,-40.0,21.0,,,SvenGret-1990-2Ch-4,,,1,0,SvenGret
0.032,0.45,1.27,0.008,0.01,,,,,,,,321.0,130.0,94.0,90.0,,,60.0,10.0,30.0,180.0,23.0,1.0,1.0,250,MMA,0.0,0.0,,,,,-20.0,38.0,,,SvenGret-1990-2Ch-2,,,1,0,SvenGret
0.032,0.45,1.27,0.008,0.01,,,,,,,,321.0,130.0,94.0,90.0,,,60.0,10.0,30.0,180.0,23.0,1.0,1.0,250,MMA,0.0,0.0,,,,,0.0,152.0,,,SvenGret-1990-2Ch0,,,1,0,SvenGret
0.032,0.45,1.27,0.008,0.01,,,,,,,,321.0,130.0,94.0,90.0,,,60.0,10.0,30.0,180.0,23.0,1.0,1.0,250,MMA,0.0,0.0,,,,,20.0,195.0,,,SvenGret-1990-2Ch2,,,1,0,SvenGret
0.031,0.42,1.71,0.004,0.01,,,,,,,,297.0,110.0,109.0,80.0,,,60.0,10.0,30.0,180.0,23.0,1.0,1.0,250,MMA,0.0,0.0,488.0,,,,,,,,SvenGret-1990-3,,,1,0,SvenGret
0.031,0.42,1.71,0.004,0.01,,,,,,,,297.0,110.0,109.0,80.0,,,60.0,10.0,30.0,180.0,23.0,1.0,1.0,250,MMA,0.0,0.0,,,,,-60.0,29.0,,,SvenGret-1990-3Ch-6,,,1,0,SvenGret
0.031,0.42,1.71,0.004,0.01,,,,,,,,297.0,110.0,109.0,80.0,,,60.0,10.0,30.0,180.0,23.0,1.0,1.0,250,MMA,0.0,0.0,,,,,-40.0,71.0,,,SvenGret-1990-3Ch-4,,,1,0,SvenGret
0.031,0.42,1.71,0.004,0.01,,,,,,,,297.0,110.0,109.0,80.0,,,60.0,10.0,30.0,180.0,23.0,1.0,1.0,250,MMA,0.0,0.0,,,,,-20.0,143.0,,,SvenGret-1990-3Ch-2,,,1,0,SvenGret
