,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Oxygen concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Hardness / kg mm^{-2},Weld ID,Electrode Positive,Electrode Negative,Group
0,0.069,0.53,0.58,0.018,0.014,2.6,1.1,430.0,150.0,37.5,1.0,1.0,300,MMA,690.0,3.0,593.0,698.0,17.0,67.0,231.0,Wolst-1974-A,1,0,Wolst
1,0.05,0.45,0.73,0.015,0.018,2.8,1.1,460.0,150.0,37.5,1.0,1.0,300,MMA,690.0,3.0,591.0,705.0,17.0,70.0,230.0,Wolst-1974-B,1,0,Wolst
2,0.051,0.43,0.76,0.024,0.019,2.8,1.1,410.0,150.0,37.5,1.0,1.0,300,MMA,690.0,3.0,614.0,713.0,18.0,67.0,241.0,Wolst-1974-C,1,0,Wolst
3,0.067,0.13,0.94,0.017,0.026,2.9,1.4,550.0,150.0,37.5,1.0,1.0,300,MMA,690.0,3.0,546.0,658.0,18.0,65.0,222.0,Wolst-1974-E,1,0,Wolst
4,0.058,0.2,0.55,0.027,0.027,1.8,1.2,730.0,150.0,37.5,1.0,1.0,300,MMA,690.0,3.0,464.0,578.0,23.0,71.0,205.0,Wolst-1974-F,1,0,Wolst
5,0.125,0.39,0.88,0.025,0.028,2.5,1.4,470.0,150.0,37.5,1.0,1.0,300,MMA,690.0,3.0,646.0,737.0,18.0,63.0,253.0,Wolst-1974-G,1,0,Wolst
6,0.053,0.3,0.84,0.019,0.012,2.1,1.3,690.0,150.0,37.5,1.0,1.0,300,MMA,690.0,3.0,536.0,652.0,20.0,73.0,220.0,Wolst-1974-K,1,0,Wolst
7,0.075,0.35,0.8,0.02,0.017,2.3,1.5,550.0,150.0,37.5,1.0,1.0,300,MMA,690.0,3.0,546.0,648.0,18.0,17.0,220.0,Wolst-1974-N,1,0,Wolst
8,0.065,0.39,0.77,0.029,0.016,2.4,1.4,560.0,150.0,37.5,1.0,1.0,300,MMA,690.0,3.0,581.0,693.0,20.0,69.0,230.0,Wolst-1974-Y,1,0,Wolst
9,0.061,0.32,0.27,0.022,0.016,2.2,1.2,690.0,150.0,37.5,1.0,1.0,300,MMA,690.0,3.0,537.0,648.0,22.0,65.0,220.0,Wolst-1974-AM1,1,0,Wolst
10,0.043,0.34,0.45,0.019,0.017,2.2,1.4,580.0,150.0,37.5,1.0,1.0,300,MMA,690.0,3.0,527.0,635.0,20.0,67.0,219.0,Wolst-1974-AM2,1,0,Wolst
11,0.066,0.41,0.67,0.018,0.029,2.5,1.2,620.0,150.0,37.5,1.0,1.0,300,MMA,690.0,3.0,561.0,666.0,20.0,68.0,226.0,Wolst-1974-AM3,1,0,Wolst
12,0.1,0.44,0.8,0.021,0.02,2.5,1.2,520.0,150.0,37.5,1.0,1.0,300,MMA,690.0,3.0,576.0,678.0,17.0,70.0,230.0,Wolst-1974-AM4,1,0,Wolst
