Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.095,0.35,0.9,0.008,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,,54.0,170.0,,0.0,,,,450.0,30.0,1.0,2.025,250,SA,200.0,1.0,408.0,501.0,32.6,77.0,,,,,p9-RR82011,,,1,0,p-RR82011
0.095,0.35,0.9,0.008,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,,54.0,170.0,,0.0,,,,450.0,30.0,1.0,2.025,250,SA,200.0,1.0,394.0,496.0,34.2,78.0,,,,,p9-RR82011,,,1,0,p-RR82011
0.093,0.32,0.86,0.01,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,,54.0,180.0,,0.0,,,,550.0,30.0,1.0,2.475,250,SA,200.0,1.0,390.0,486.0,33.0,76.0,,,,,p10-RR82011,,,1,0,p-RR82011
0.093,0.32,0.86,0.01,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,,54.0,180.0,,0.0,,,,550.0,30.0,1.0,2.475,250,SA,200.0,1.0,388.0,482.0,31.8,75.0,,,,,p10-RR82011,,,1,0,p-RR82011
0.096,0.3,0.8,0.012,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,,47.0,170.0,,0.0,,,,650.0,30.0,1.0,2.925,250,SA,200.0,1.0,370.0,481.0,33.6,76.0,,,,,p11-RR82011,,,1,0,p-RR82011
0.096,0.3,0.8,0.012,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,,47.0,170.0,,0.0,,,,650.0,30.0,1.0,2.925,250,SA,200.0,1.0,379.0,490.0,32.2,77.0,,,,,p11-RR82011,,,1,0,p-RR82011
0.1,0.28,0.82,0.012,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,,45.0,200.0,,0.0,,,,900.0,33.0,1.0,4.8,100,SA,200.0,1.0,337.0,477.0,32.6,71.0,,,,,p12-RR82011,,,1,0,p-RR82011
0.1,0.28,0.82,0.012,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,,45.0,200.0,,0.0,,,,900.0,33.0,1.0,4.8,100,SA,200.0,1.0,356.0,483.0,32.3,72.0,,,,,p12-RR82011,,,1,0,p-RR82011
0.088,0.35,1.38,0.004,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,,109.0,200.0,,0.0,,,,450.0,30.0,1.0,2.025,250,SA,200.0,1.0,456.0,563.0,30.2,75.0,,,,,p13-RR82011,,,1,0,p-RR82011
0.088,0.35,1.38,0.004,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,,109.0,200.0,,0.0,,,,450.0,30.0,1.0,2.025,250,SA,200.0,1.0,458.0,567.0,29.6,74.0,,,,,p13-RR82011,,,1,0,p-RR82011
0.089,0.32,1.36,0.005,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,,85.0,180.0,,0.0,,,,550.0,30.0,1.0,2.475,250,SA,200.0,1.0,428.0,539.0,28.0,75.0,,,,,p14-RR82011,,,1,0,p-RR82011
0.089,0.32,1.36,0.005,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,,85.0,180.0,,0.0,,,,550.0,30.0,1.0,2.475,250,SA,200.0,1.0,436.0,544.0,29.4,75.0,,,,,p14-RR82011,,,1,0,p-RR82011
0.092,0.31,1.33,0.005,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,,84.0,170.0,,0.0,,,,650.0,30.0,1.0,2.925,250,SA,200.0,1.0,439.0,543.0,28.8,75.0,,,,,p15-RR82011,,,1,0,p-RR82011
0.092,0.31,1.33,0.005,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,,84.0,170.0,,0.0,,,,650.0,30.0,1.0,2.925,250,SA,200.0,1.0,430.0,541.0,31.4,73.0,,,,,p15-RR82011,,,1,0,p-RR82011
0.09,0.33,1.19,0.007,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,,78.0,200.0,,0.0,,,,900.0,33.0,1.0,4.8,100,SA,200.0,1.0,,539.0,27.1,67.0,,,,,p16-RR82011,,,1,0,p-RR82011
0.09,0.33,1.19,0.007,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,,78.0,200.0,,0.0,,,,900.0,33.0,1.0,4.8,100,SA,200.0,1.0,413.0,540.0,28.6,69.0,,,,,p16-RR82011,,,1,0,p-RR82011
