,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Electrode positive or negative,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Weld ID
0,0.057,0.62,1.22,0.01,0.012,0.05,0.09,1.0691428571428574,0.011,1100.0,180.0,43.0,70.0,1.0,30.0,0.008171428571428573,0.06294285714285713,0.008,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,535.1428571428571,538.0,19.428571428571427,55.0,-5.873015873015873,66.66666666666667,PakSven-1990-1
1,0.053,0.68,1.3,0.01,0.01,0.04,0.06,1.0691428571428574,0.009,1300.0,170.0,39.0,70.0,1.0,30.0,0.008171428571428573,0.06294285714285713,0.008,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,535.1428571428571,552.0,19.428571428571427,55.0,-5.873015873015873,66.66666666666667,PakSven-1990-2
2,0.058,0.59,1.12,0.013,0.015,0.03,0.12,1.0691428571428574,0.015,640.0,80.0,73.0,110.0,1.0,20.0,0.008171428571428573,0.06294285714285713,0.008,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,535.1428571428571,552.0,19.428571428571427,55.0,-5.873015873015873,66.66666666666667,PakSven-1990-3
3,0.053,0.7,1.28,0.013,0.015,0.03,0.1,1.0691428571428574,0.015,622.0,80.0,71.0,120.0,2.0,20.0,0.008171428571428573,0.06294285714285713,0.008,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,535.1428571428571,557.0,19.428571428571427,55.0,-5.873015873015873,66.66666666666667,PakSven-1990-4
4,0.055,0.42,0.9,0.016,0.012,0.55,0.06,1.0691428571428574,0.012,780.0,220.0,46.0,20.0,1.0,70.0,0.008171428571428573,0.06294285714285713,0.008,285.0,32.0,DC,+,2.9,200,FCA,200.0,14.0,535.1428571428571,552.0,19.428571428571427,55.0,-5.873015873015873,66.66666666666667,PakSven-1990-5
5,0.069,0.56,1.12,0.016,0.011,0.58,0.06,1.0691428571428574,0.013,837.0,280.0,41.0,30.0,3.0,90.0,0.008171428571428573,0.06294285714285713,0.008,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,535.1428571428571,572.0,19.428571428571427,55.0,-5.873015873015873,66.66666666666667,PakSven-1990-6
6,0.065,0.59,1.17,0.015,0.011,0.62,0.05,1.0691428571428574,0.013,781.0,260.0,34.0,30.0,3.0,100.0,0.008171428571428573,0.06294285714285713,0.008,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,535.1428571428571,582.0,19.428571428571427,55.0,-5.873015873015873,66.66666666666667,PakSven-1990-7
7,0.066,0.23,0.79,0.015,0.015,0.03,0.11,1.0691428571428574,0.013,796.0,310.0,70.0,210.0,16.0,70.0,0.008171428571428573,0.06294285714285713,0.008,285.0,32.0,DC,+,2.9,200,FCA,200.0,14.0,535.1428571428571,498.0,19.428571428571427,55.0,-5.873015873015873,66.66666666666667,PakSven-1990-8
8,0.067,0.39,1.12,0.014,0.016,0.03,0.1,1.0691428571428574,0.016,684.0,570.0,74.0,460.0,28.0,100.0,0.008171428571428573,0.06294285714285713,0.008,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,535.1428571428571,538.0,19.428571428571427,55.0,-5.873015873015873,66.66666666666667,PakSven-1990-9
9,0.062,0.37,1.1,0.015,0.014,0.02,0.08,1.0691428571428574,0.015,816.0,390.0,69.0,510.0,28.0,10.0,0.008171428571428573,0.06294285714285713,0.008,280.0,30.0,DC,+,2.8,200,FCA,200.0,14.0,535.1428571428571,533.0,19.428571428571427,55.0,-5.873015873015873,66.66666666666667,PakSven-1990-10
