,0
Unnamed: 0,0.0
Carbon concentration / weight %,0.0
Silicon concentration / weight %,0.0
Manganese concentration / weight %,0.0
Sulphur concentration / weight %,0.0
Phosphorus concentration / weight %,0.0
Nickel concentration / weight %,0.0
Chromium concentration / weight %,0.0
Molybdenum concentration / weight %,19.54
Vanadium concentration / weight %,0.0
Copper concentration / weight %,100.0
Cobalt concentration / weight %,100.0
Tungsten concentration / weight %,100.0
Oxygen concentration / parts per million by weight,0.0
Titanium concentration / parts per million by weight,80.46
Nitrogen concentration / parts per million by weight,0.0
Aluminium concentration / parts per million by weight,80.46
Boron concentration / parts per million by weight,80.46
Niobium concentration / parts per million by weight,80.46
Tin concentration / parts per million by weight,19.54
Arsenic concentration / parts per million by weight,19.54
Antimony concentration / parts per million by weight,19.54
Current / A,0.0
Voltage / V,0.0
AC or DC,0.0
Electrode positive or negative,0.0
Heat input / kJ mm^{-1},0.0
Interpass temperature / °C,0.0
Type of weld,0.0
Post weld heat treatment temperature / °C,0.0
Post weld heat treatment time / hours,0.0
Yield strength / MPa,91.95
Ultimate tensile strength / MPa,72.41
Elongation / %,91.95
Reduction of Area / %,91.95
Charpy temperature / °C,27.59
Charpy impact toughness / J,27.59
Hardness / kg mm^{-2},100.0
50% FATT,100.0
Weld ID,0.0
Nitrogen residual concentration,100.0
Hardness scale,100.0
