,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},Weld ID,Electrode Positive,Electrode Negative
2,0.037,0.3,0.65,0.008,0.012,0.0,3.0512158054711245,0.45843768996960493,0.13182849056603776,0.17607773851590108,0.12591549295774648,0.521764705882353,434.5312066574202,69.10666666666667,118.04125177809388,56.02514096185739,6.901639344262295,143.67241379310346,59.666666666666664,28.125,43.56666666666667,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,370.0,456.0,35.2,80.6,-38.0,100.0,242.0722891566265,Evans-Ni/CMn-1990/1991-0Aht,1,0
5,0.037,0.31,1.03,0.007,0.014,0.0,3.0512158054711245,0.45843768996960493,0.13182849056603776,0.17607773851590108,0.12591549295774648,0.521764705882353,434.5312066574202,69.10666666666667,118.04125177809388,56.02514096185739,6.901639344262295,143.67241379310346,59.666666666666664,28.125,43.56666666666667,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,402.0,490.0,31.0,80.6,-44.0,100.0,242.0722891566265,Evans-Ni/CMn-1990/1991-0Bht,1,0
8,0.044,0.35,1.43,0.007,0.014,0.0,3.0512158054711245,0.45843768996960493,0.13182849056603776,0.17607773851590108,0.12591549295774648,0.521764705882353,434.5312066574202,69.10666666666667,118.04125177809388,56.02514096185739,6.901639344262295,143.67241379310346,59.666666666666664,28.125,43.56666666666667,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,436.0,529.0,31.6,78.8,-58.0,100.0,242.0722891566265,Evans-Ni/CMn-1990/1991-0Cht,1,0
11,0.045,0.33,1.85,0.007,0.016,0.0,3.0512158054711245,0.45843768996960493,0.13182849056603776,0.17607773851590108,0.12591549295774648,0.521764705882353,434.5312066574202,69.10666666666667,118.04125177809388,56.02514096185739,6.901639344262295,143.67241379310346,59.666666666666664,28.125,43.56666666666667,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,479.0,576.0,27.4,76.9,-40.0,100.0,242.0722891566265,Evans-Ni/CMn-1990/1991-0Dht,1,0
24,0.038,0.31,0.63,0.007,0.012,1.09,3.0512158054711245,0.45843768996960493,0.13182849056603776,0.17607773851590108,0.12591549295774648,0.521764705882353,434.5312066574202,69.10666666666667,118.04125177809388,56.02514096185739,6.901639344262295,143.67241379310346,59.666666666666664,28.125,43.56666666666667,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,411.0,493.0,33.6,79.7,-40.0,100.0,242.0722891566265,Evans-Ni/CMn-1990/1991-1Aht,1,0
27,0.043,0.33,1.0,0.006,0.013,1.1,3.0512158054711245,0.45843768996960493,0.13182849056603776,0.17607773851590108,0.12591549295774648,0.521764705882353,434.5312066574202,69.10666666666667,118.04125177809388,56.02514096185739,6.901639344262295,143.67241379310346,59.666666666666664,28.125,43.56666666666667,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,443.0,521.0,31.8,77.8,-51.0,100.0,242.0722891566265,Evans-Ni/CMn-1990/1991-1Bht,1,0
30,0.049,0.35,1.37,0.007,0.013,1.06,3.0512158054711245,0.45843768996960493,0.13182849056603776,0.17607773851590108,0.12591549295774648,0.521764705882353,434.5312066574202,69.10666666666667,118.04125177809388,56.02514096185739,6.901639344262295,143.67241379310346,59.666666666666664,28.125,43.56666666666667,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,470.0,557.0,30.2,76.0,-20.0,100.0,242.0722891566265,Evans-Ni/CMn-1990/1991-1Cht,1,0
33,0.053,0.35,1.83,0.007,0.012,1.06,3.0512158054711245,0.45843768996960493,0.13182849056603776,0.17607773851590108,0.12591549295774648,0.521764705882353,434.5312066574202,69.10666666666667,118.04125177809388,56.02514096185739,6.901639344262295,143.67241379310346,59.666666666666664,28.125,43.56666666666667,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,521.0,612.0,26.0,74.0,1.0,100.0,242.0722891566265,Evans-Ni/CMn-1990/1991-1Dht,1,0
36,0.041,0.3,0.62,0.007,0.01,2.38,3.0512158054711245,0.45843768996960493,0.13182849056603776,0.17607773851590108,0.12591549295774648,0.521764705882353,434.5312066574202,69.10666666666667,118.04125177809388,56.02514096185739,6.901639344262295,143.67241379310346,59.666666666666664,28.125,43.56666666666667,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,431.0,518.0,32.2,76.9,-41.0,100.0,242.0722891566265,Evans-Ni/CMn-1990/1991-2.25Aht,1,0
39,0.044,0.31,0.96,0.006,0.013,2.38,3.0512158054711245,0.45843768996960493,0.13182849056603776,0.17607773851590108,0.12591549295774648,0.521764705882353,434.5312066574202,69.10666666666667,118.04125177809388,56.02514096185739,6.901639344262295,143.67241379310346,59.666666666666664,28.125,43.56666666666667,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,481.0,561.0,29.1,76.9,-44.0,100.0,242.0722891566265,Evans-Ni/CMn-1990/1991-2.25Bht,1,0
