,0
Unnamed: 0,0.0
Carbon concentration / weight %,0.0
Silicon concentration / weight %,0.0
Manganese concentration / weight %,0.0
Sulphur concentration / weight %,0.0
Phosphorus concentration / weight %,0.0
Nickel concentration / weight %,70.0
Chromium concentration / weight %,65.18
Molybdenum concentration / weight %,70.35
Vanadium concentration / weight %,53.51
Copper concentration / weight %,75.18
Cobalt concentration / weight %,93.77
Tungsten concentration / weight %,98.51
Oxygen concentration / parts per million by weight,26.67
Titanium concentration / parts per million by weight,35.18
Nitrogen concentration / parts per million by weight,28.51
Aluminium concentration / parts per million by weight,39.74
Boron concentration / parts per million by weight,62.54
Niobium concentration / parts per million by weight,54.21
Tin concentration / parts per million by weight,89.47
Arsenic concentration / parts per million by weight,91.58
Antimony concentration / parts per million by weight,89.47
Current / A,18.6
Voltage / V,18.6
AC or DC,0.0
Heat input / kJ mm^{-1},0.0
Interpass temperature / °C,0.0
Type of weld,0.0
Post weld heat treatment temperature / °C,0.0
Post weld heat treatment time / hours,0.0
Yield strength / MPa,54.74
Ultimate tensile strength / MPa,56.14
Elongation / %,57.98
Reduction of Area / %,58.42
Charpy temperature / °C,42.72
Charpy impact toughness / J,42.72
Hardness / kg mm^{-2},91.93
50% FATT,100.0
Weld ID,0.0
Nitrogen residual concentration,100.0
Hardness scale,100.0
Electrode Positive,0.0
Electrode Negative,0.0
