,0
Unnamed: 0,0.0
Carbon concentration / weight %,0.0
Silicon concentration / weight %,0.0
Manganese concentration / weight %,0.0
Sulphur concentration / weight %,0.0
Phosphorus concentration / weight %,0.0
Nickel concentration / weight %,0.0
Chromium concentration / weight %,0.0
Molybdenum concentration / weight %,0.0
Vanadium concentration / weight %,85.71
Copper concentration / weight %,85.71
Cobalt concentration / weight %,100.0
Tungsten concentration / weight %,100.0
Oxygen concentration / parts per million by weight,14.29
Titanium concentration / parts per million by weight,85.71
Nitrogen concentration / parts per million by weight,100.0
Aluminium concentration / parts per million by weight,0.0
Boron concentration / parts per million by weight,100.0
Niobium concentration / parts per million by weight,85.71
Tin concentration / parts per million by weight,85.71
Arsenic concentration / parts per million by weight,85.71
Antimony concentration / parts per million by weight,85.71
Current / A,0.0
Voltage / V,0.0
AC or DC,0.0
Electrode positive or negative,0.0
Heat input / kJ mm^{-1},0.0
Interpass temperature / °C,0.0
Type of weld,0.0
Post weld heat treatment temperature / °C,0.0
Post weld heat treatment time / hours,0.0
Yield strength / MPa,71.43
Ultimate tensile strength / MPa,71.43
Elongation / %,71.43
Reduction of Area / %,100.0
Charpy temperature / °C,28.57
Charpy impact toughness / J,28.57
Hardness / kg mm^{-2},100.0
50% FATT,100.0
Weld ID,0.0
Nitrogen residual concentration,100.0
Hardness scale,100.0
