,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Oxygen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Charpy temperature / °C,Charpy impact toughness / J,Weld ID,Electrode Positive,Electrode Negative
0,0.1,0.22,0.55,0.009,0.013,0.21,2.68,1.05,260.0,200.0,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,-16.428571428571427,121.57142857142857,Chandel&-1985W1,1,0
1,0.1,0.22,0.55,0.009,0.013,0.21,2.68,1.05,260.0,200.0,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,24.0,193.0,Chandel&-1985W1ch1,1,0
2,0.1,0.22,0.55,0.009,0.013,0.21,2.68,1.05,260.0,200.0,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,0.0,164.0,Chandel&-1985W1ch2,1,0
3,0.1,0.22,0.55,0.009,0.013,0.21,2.68,1.05,260.0,200.0,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,-20.0,147.0,Chandel&-1985W1ch3,1,0
4,0.1,0.22,0.55,0.009,0.013,0.21,2.68,1.05,260.0,200.0,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,-40.0,72.0,Chandel&-1985W1ch4,1,0
5,0.1,0.22,0.55,0.009,0.013,0.21,2.68,1.05,260.0,200.0,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,-60.0,15.0,Chandel&-1985W1ch5,1,0
6,0.06,0.49,0.67,0.011,0.009,0.21,2.63,1.06,850.0,150.0,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,-16.428571428571427,121.57142857142857,Chandel&-1985W2,1,0
7,0.06,0.49,0.67,0.011,0.009,0.21,2.63,1.06,850.0,150.0,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,22.0,96.0,Chandel&-1985W2ch1,1,0
8,0.06,0.49,0.67,0.011,0.009,0.21,2.63,1.06,850.0,150.0,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,0.0,68.0,Chandel&-1985W2ch2,1,0
9,0.06,0.49,0.67,0.011,0.009,0.21,2.63,1.06,850.0,150.0,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,-20.0,38.0,Chandel&-1985W2ch3,1,0
10,0.06,0.49,0.67,0.011,0.009,0.21,2.63,1.06,850.0,150.0,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,-40.0,15.0,Chandel&-1985W2ch4,1,0
11,0.1,0.19,0.53,0.007,0.007,0.2,2.7,1.03,220.0,150.0,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,-16.428571428571427,121.57142857142857,Chandel&-1985W3,1,0
12,0.1,0.19,0.53,0.007,0.007,0.2,2.7,1.03,220.0,150.0,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,24.0,270.0,Chandel&-1985W3ch1,1,0
13,0.1,0.19,0.53,0.007,0.007,0.2,2.7,1.03,220.0,150.0,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,0.0,238.0,Chandel&-1985W3ch2,1,0
14,0.1,0.19,0.53,0.007,0.007,0.2,2.7,1.03,220.0,150.0,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,-20.0,176.0,Chandel&-1985W3ch3,1,0
15,0.1,0.19,0.53,0.007,0.007,0.2,2.7,1.03,220.0,150.0,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,-40.0,157.0,Chandel&-1985W3ch4,1,0
16,0.1,0.19,0.53,0.007,0.007,0.2,2.7,1.03,220.0,150.0,500.0,32.0,1.0,2.0,250,NGSAW,690.0,10.0,-60.0,53.0,Chandel&-1985W3ch5,1,0
17,0.13,0.17,0.73,0.003,0.008,0.06,2.3,1.0,419.4117647058824,140.0,450.0,26.0,1.0,2.8,225,NGSAW,690.0,14.0,-16.428571428571427,121.57142857142857,Kik-ngsaw,1,0
