,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Oxygen concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Niobium concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Weld ID,Electrode Positive,Electrode Negative
0,0.05,0.29,0.72,0.007,0.009,0.77,0.52,0.23,0.06596028037383178,1.19,250.0,80.0,330.0,680.0,34.0,1.0,2.0,200,SA,0.0,0.0,649.0,Hunt&-Di-1994-1,1,0
1,0.05,0.27,0.75,0.006,0.01,0.75,0.5,0.23,0.06596028037383178,1.05,190.0,80.0,320.0,680.0,34.0,1.0,3.3,200,SA,0.0,0.0,576.0,Hunt&-Di-1994-2,1,0
2,0.05,0.26,0.75,0.006,0.01,0.75,0.5,0.24,0.06596028037383178,1.04,210.0,80.0,320.0,680.0,34.0,1.0,4.6,200,SA,0.0,0.0,556.0,Hunt&-Di-1994-3,1,0
3,0.05,0.27,0.77,0.005,0.01,0.73,0.49,0.24,0.06596028037383178,1.04,210.0,80.0,310.0,665.0,34.0,1.0,5.3,200,SA,0.0,0.0,538.0,Hunt&-Di-1994-4,1,0
4,0.05,0.26,0.98,0.005,0.012,0.54,0.41,0.27,0.06596028037383178,0.85,240.0,80.0,200.0,670.0,34.0,1.0,2.0,200,SA,0.0,0.0,571.0,Hunt&-Di-1994-5,1,0
5,0.05,0.25,0.98,0.005,0.011,0.55,0.42,0.27,0.06596028037383178,0.81,230.0,80.0,210.0,670.0,34.0,1.0,3.3,200,SA,0.0,0.0,561.0,Hunt&-Di-1994-6,1,0
6,0.05,0.24,0.97,0.005,0.012,0.53,0.4,0.26,0.06596028037383178,0.82,230.0,80.0,200.0,670.0,34.0,1.0,4.6,200,SA,0.0,0.0,552.0,Hunt&-Di-1994-7,1,0
7,0.04,0.24,0.98,0.005,0.012,0.53,0.4,0.27,0.06596028037383178,0.82,210.0,80.0,190.0,670.0,34.0,1.0,5.3,200,SA,0.0,0.0,541.0,Hunt&-Di-1994-8,1,0
8,0.05,0.35,0.79,0.007,0.011,1.39,0.56,0.28,0.06596028037383178,0.96,210.0,80.0,330.0,640.0,34.0,1.0,2.0,200,SA,0.0,0.0,678.0,Hunt&-Di-1994-9,1,0
9,0.05,0.36,0.82,0.007,0.011,1.44,0.55,0.29,0.06596028037383178,0.92,190.0,80.0,320.0,660.0,34.0,1.0,3.3,200,SA,0.0,0.0,636.0,Hunt&-Di-1994-10,1,0
10,0.05,0.36,0.85,0.007,0.012,1.49,0.55,0.31,0.06596028037383178,0.89,210.0,80.0,320.0,660.0,34.0,1.0,4.6,200,SA,0.0,0.0,601.0,Hunt&-Di-1994-11,1,0
11,0.05,0.36,0.86,0.007,0.012,1.5,0.54,0.31,0.06596028037383178,0.87,200.0,80.0,310.0,660.0,34.0,1.0,5.3,200,SA,0.0,0.0,585.0,Hunt&-Di-1994-12,1,0
12,0.05,0.39,1.1,0.006,0.013,1.87,0.53,0.37,0.06596028037383178,0.57,220.0,70.0,210.0,660.0,34.0,1.0,2.0,200,SA,0.0,0.0,592.0,Hunt&-Di-1994-13,1,0
13,0.05,0.38,1.11,0.005,0.014,1.89,0.52,0.37,0.06596028037383178,0.56,220.0,70.0,200.0,660.0,34.0,1.0,3.3,200,SA,0.0,0.0,555.0,Hunt&-Di-1994-14,1,0
14,0.05,0.39,1.1,0.006,0.013,1.87,0.52,0.37,0.06596028037383178,0.57,220.0,80.0,210.0,660.0,34.0,1.0,4.6,200,SA,0.0,0.0,547.0,Hunt&-Di-1994-15,1,0
15,0.05,0.4,1.12,0.006,0.014,1.9,0.51,0.37,0.06596028037383178,0.55,210.0,70.0,200.0,660.0,34.0,1.0,5.3,200,SA,0.0,0.0,543.0,Hunt&-Di-1994-16,1,0
16,0.07,0.53,1.72,0.012,0.016,0.01,0.03,0.01,0.01,0.03,176.0,54.0,117.0048309178744,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,462.0,Kluket-CuMnB-1994-1,1,0
17,0.08,0.59,1.84,0.013,0.016,0.01,0.05,0.01,0.01,0.38,155.0,54.0,117.0048309178744,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,507.0,Kluket-CuMnB-1994-2,1,0
18,0.08,0.62,1.86,0.013,0.016,0.01,0.05,0.01,0.01,0.81,174.0,54.0,117.0048309178744,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,523.0,Kluket-CuMnB-1994-3,1,0
19,0.08,0.58,1.83,0.013,0.016,0.45,0.05,0.01,0.01,0.03,171.0,55.0,117.0048309178744,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,522.0,Kluket-CuMnB-1994-4,1,0
20,0.08,0.59,1.84,0.013,0.015,0.45,0.05,0.01,0.01,0.4,168.0,49.0,117.0048309178744,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,500.0,Kluket-CuMnB-1994-5,1,0
21,0.08,0.62,1.85,0.013,0.017,0.45,0.05,0.01,0.01,0.81,152.0,52.0,117.0048309178744,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,504.0,Kluket-CuMnB-1994-6,1,0
22,0.08,0.62,1.83,0.013,0.014,1.51,0.05,0.01,0.01,0.03,185.0,67.0,117.0048309178744,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,515.0,Kluket-CuMnB-1994-7,1,0
23,0.07,0.59,1.85,0.013,0.014,1.5,0.05,0.01,0.01,0.42,146.0,57.0,117.0048309178744,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,515.0,Kluket-CuMnB-1994-8,1,0
24,0.08,0.66,1.92,0.013,0.015,1.54,0.05,0.01,0.01,0.89,148.0,51.0,117.0048309178744,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,542.0,Kluket-CuMnB-1994-9,1,0
25,0.09,0.63,1.9,0.013,0.015,0.01,0.05,0.01,0.01,0.04,165.0,56.0,117.0048309178744,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,466.0,Kluket-CuMnB-1994-10,1,0
26,0.08,0.67,1.94,0.013,0.015,0.51,0.05,0.01,0.01,0.43,142.0,57.0,117.0048309178744,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,489.0,Kluket-CuMnB-1994-11,1,0
27,0.08,0.68,1.94,0.013,0.015,1.54,0.05,0.01,0.01,0.85,132.0,55.0,117.0048309178744,700.0,32.0,1.0,4.8,200,SA,0.0,0.0,546.0,Kluket-CuMnB-1994-12,1,0
28,0.05,0.25,1.15,0.015,0.024,0.0,0.0,0.0,0.004,0.12,372.6577540106952,140.0,50.0,616.0917030567686,31.624454148471617,1.0,2.4,200,SA,0.0,0.0,420.8,Cunh-1982-13aw,1,0
29,0.05,0.25,1.15,0.015,0.024,0.0,0.0,0.0,0.004,0.12,372.6577540106952,140.0,50.0,616.0917030567686,31.624454148471617,1.0,2.4,200,SA,600.0,2.1,387.5,Cunh-1982-13ht,1,0
30,0.1,0.18,1.6,0.015,0.029,0.0,0.0,0.5,0.004,0.14,372.6577540106952,110.0,100.0,616.0917030567686,31.624454148471617,1.0,2.4,200,SA,0.0,0.0,630.8,Cunh-1982-14aw,1,0
31,0.1,0.18,1.6,0.015,0.029,0.0,0.0,0.5,0.004,0.14,372.6577540106952,110.0,100.0,616.0917030567686,31.624454148471617,1.0,2.4,200,SA,600.0,2.1,605.3,Cunh-1982-14ht,1,0
32,0.09,0.28,1.52,0.015,0.045,0.0,0.0,0.5,0.005,0.1,372.6577540106952,110.0,50.0,616.0917030567686,31.624454148471617,1.0,2.4,200,SA,0.0,0.0,540.5,Cunh-1982-15aw,1,0
33,0.09,0.28,1.52,0.015,0.045,0.0,0.0,0.5,0.005,0.1,372.6577540106952,110.0,50.0,616.0917030567686,31.624454148471617,1.0,2.4,200,SA,600.0,2.1,562.1,Cunh-1982-15ht,1,0
34,0.12,0.22,1.24,0.036,0.019,0.0,0.0,0.0,0.0,0.18,372.6577540106952,110.0,200.0,616.0917030567686,31.624454148471617,1.0,1.7,200,SA,0.0,0.0,483.6,Cunh-1982-16aw,1,0
35,0.12,0.22,1.24,0.036,0.019,0.0,0.0,0.0,0.0,0.18,372.6577540106952,110.0,200.0,616.0917030567686,31.624454148471617,1.0,1.7,200,SA,600.0,2.1,414.0,Cunh-1982-16ht,1,0
36,0.15,0.32,1.2,0.017,0.025,0.0,0.0,0.0,0.0,0.0,372.6577540106952,99.0,0.0,616.0917030567686,31.624454148471617,1.0,1.6,200,SA,0.0,0.0,536.6,Cunh-1982-17aw,1,0
37,0.15,0.32,1.2,0.017,0.025,0.0,0.0,0.0,0.0,0.0,372.6577540106952,99.0,0.0,616.0917030567686,31.624454148471617,1.0,1.6,200,SA,600.0,1.3,487.6,Cunh-1982-17ht,1,0
38,0.08,0.21,1.2,0.014,0.022,0.0,0.0,0.0,0.0,0.0,372.6577540106952,100.0,60.0,616.0917030567686,31.624454148471617,1.0,1.7,200,SA,0.0,0.0,453.2,Cunh-1982-18aw,1,0
39,0.08,0.21,1.2,0.014,0.022,0.0,0.0,0.0,0.0,0.0,372.6577540106952,100.0,60.0,616.0917030567686,31.624454148471617,1.0,1.7,200,SA,600.0,1.7,455.2,Cunh-1982-18ht,1,0
40,0.1,0.12,1.2,0.013,0.024,0.0,0.0,0.0,0.0,0.0,372.6577540106952,89.0,60.0,616.0917030567686,31.624454148471617,1.0,1.7,200,SA,0.0,0.0,519.9,Cunh-1982-19aw,1,0
