,0
Unnamed: 0,0.0
Carbon concentration / weight %,0.0
Silicon concentration / weight %,0.0
Manganese concentration / weight %,0.0
Sulphur concentration / weight %,0.0
Phosphorus concentration / weight %,2.3
Nickel concentration / weight %,14.56
Chromium concentration / weight %,2.3
Molybdenum concentration / weight %,0.0
Vanadium concentration / weight %,18.01
Copper concentration / weight %,24.14
Cobalt concentration / weight %,82.38
Tungsten concentration / weight %,82.38
Oxygen concentration / parts per million by weight,28.35
Titanium concentration / parts per million by weight,53.64
Nitrogen concentration / parts per million by weight,22.99
Aluminium concentration / parts per million by weight,38.7
Boron concentration / parts per million by weight,81.61
Niobium concentration / parts per million by weight,20.69
Tin concentration / parts per million by weight,66.28
Arsenic concentration / parts per million by weight,80.84
Antimony concentration / parts per million by weight,75.48
Current / A,12.26
Voltage / V,12.26
AC or DC,0.0
Heat input / kJ mm^{-1},0.0
Interpass temperature / °C,0.0
Type of weld,0.0
Post weld heat treatment temperature / °C,4.98
Post weld heat treatment time / hours,4.98
Yield strength / MPa,21.46
Ultimate tensile strength / MPa,37.93
Elongation / %,37.93
Reduction of Area / %,31.8
Charpy temperature / °C,76.63
Charpy impact toughness / J,76.63
Hardness / kg mm^{-2},88.51
50% FATT,88.12
Weld ID,0.0
Nitrogen residual concentration,100.0
Hardness scale,100.0
Electrode Positive,0.0
Electrode Negative,0.0
