,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Weld ID,Electrode Positive,Electrode Negative
0,0.074,0.33,1.45,0.005,0.005,408.0,6.0,90.0,170.0,21.0,1.0,1.0,200,ShMA,250.0,14.0,463.0,537.0,31.2,78.8,-64.35,64.0,Evans-Ti/CMn-1992-P0,1,0
1,0.074,0.33,1.45,0.005,0.005,408.0,6.0,90.0,170.0,21.0,1.0,1.0,200,ShMA,0.0,0.0,498.5,567.1,30.02,77.95,-60.0,28.0,Evans-Ti/CMn-1992-P0ch1,1,0
2,0.074,0.33,1.45,0.005,0.005,408.0,6.0,90.0,170.0,21.0,1.0,1.0,200,ShMA,0.0,0.0,498.5,567.1,30.02,77.95,-36.0,100.0,Evans-Ti/CMn-1992-P0ch2,1,0
3,0.074,0.33,1.45,0.005,0.005,408.0,6.0,90.0,170.0,21.0,1.0,1.0,200,ShMA,0.0,0.0,498.5,567.1,30.02,77.95,-64.35,64.0,Evans-Ti/CMn-1992-P0mic,1,0
4,0.073,0.34,1.49,0.004,0.007,396.0,16.0,84.0,170.0,21.0,1.0,1.0,200,ShMA,250.0,14.0,482.0,548.0,33.6,78.8,-64.35,64.0,Evans-Ti/CMn-1992-P0.1,1,0
5,0.073,0.34,1.49,0.004,0.007,396.0,16.0,84.0,170.0,21.0,1.0,1.0,200,ShMA,0.0,0.0,498.5,567.1,30.02,77.95,-85.0,28.0,Evans-Ti/CMn-1992-P0.1ch1,1,0
6,0.073,0.34,1.49,0.004,0.007,396.0,16.0,84.0,170.0,21.0,1.0,1.0,200,ShMA,0.0,0.0,498.5,567.1,30.02,77.95,-59.0,100.0,Evans-Ti/CMn-1992-P0.1ch2,1,0
7,0.073,0.34,1.49,0.004,0.007,396.0,16.0,84.0,170.0,21.0,1.0,1.0,200,ShMA,0.0,0.0,498.5,567.1,30.02,77.95,-64.35,64.0,Evans-Ti/CMn-1992-P0.1mic,1,0
8,0.071,0.36,1.46,0.004,0.006,400.0,22.0,85.0,170.0,21.0,1.0,1.0,200,ShMA,250.0,14.0,497.0,563.0,30.6,77.0,-64.35,64.0,Evans-Ti/CMn-1992-P0.2,1,0
9,0.071,0.36,1.46,0.004,0.006,400.0,22.0,85.0,170.0,21.0,1.0,1.0,200,ShMA,0.0,0.0,498.5,567.1,30.02,77.95,-82.0,28.0,Evans-Ti/CMn-1992-P0.2ch1,1,0
