,0
Unnamed: 0,0.0
Carbon concentration / weight %,0.0
Silicon concentration / weight %,0.0
Manganese concentration / weight %,0.0
Sulphur concentration / weight %,4.6
Phosphorus concentration / weight %,4.6
Nickel concentration / weight %,90.8
Chromium concentration / weight %,90.8
Molybdenum concentration / weight %,0.0
Vanadium concentration / weight %,4.6
Copper concentration / weight %,4.6
Cobalt concentration / weight %,100.0
Tungsten concentration / weight %,100.0
Oxygen concentration / parts per million by weight,4.6
Titanium concentration / parts per million by weight,95.4
Nitrogen concentration / parts per million by weight,0.0
Aluminium concentration / parts per million by weight,95.4
Boron concentration / parts per million by weight,100.0
Niobium concentration / parts per million by weight,95.4
Tin concentration / parts per million by weight,95.4
Arsenic concentration / parts per million by weight,95.4
Antimony concentration / parts per million by weight,95.4
Current / A,4.6
Voltage / V,4.6
AC or DC,0.0
Heat input / kJ mm^{-1},0.0
Interpass temperature / °C,0.0
Type of weld,0.0
Post weld heat treatment temperature / °C,0.0
Post weld heat treatment time / hours,0.0
Yield strength / MPa,72.41
Ultimate tensile strength / MPa,72.41
Elongation / %,72.41
Reduction of Area / %,72.41
Charpy temperature / °C,27.59
Charpy impact toughness / J,27.59
Hardness / kg mm^{-2},81.61
50% FATT,100.0
Weld ID,0.0
Nitrogen residual concentration,100.0
Hardness scale,100.0
Electrode Positive,0.0
Electrode Negative,0.0
